#      time         order        air_handl1   air_handli   plant_pla1   plant_pla2   plant_pla3   plant_pla4   plant_plan   zone_zone1   zone_zone2   zone_zone3   zone_zone4   zone_zone5   zone_zone_
  0.000000000       1.0000       54.762       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       744.08       1093.8       71.240       71.240       0.0000    
 0.1600000000       1.0000       56.696       37.836       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1018.6       1430.2       71.240       71.240       0.0000    
 0.3200000000       1.0000       56.750       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1137.5       1589.8       71.240       71.240       0.0000    
 0.3641584608       1.0000       56.754       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1156.7       1617.0       71.240       71.240       0.0000    
 0.3641584636       1.0000       56.754       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1156.7       1617.0       71.240       71.240       0.0000    
 0.6201584636       1.0000       56.755       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1129.7       1586.9       71.240       71.240       0.0000    
 0.8761584636       1.0000       56.755       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1109.1       1560.3       71.240       71.240       0.0000    
  1.388158464       1.0000       56.756       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1096.1       1544.2       71.240       71.240       0.0000    
  2.412158464       1.0000       56.756       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1067.9       1505.2       71.240       71.240       0.0000    
  3.912158464       1.0000       56.755       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1065.0       1495.4       71.795       71.795       0.0000    
  5.412158464       1.0000       56.756       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       25.174       890.49       1310.8       183.03       183.03       25.174    
  6.297433212       1.0000       56.757       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       137.24       503.54       907.17       409.33       409.33       137.24    
  7.225855919       1.0000       56.756       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       179.89       645.72       1042.1       279.39       279.39       179.89    
  8.161483220       1.0000       56.756       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       72.429       984.50       1372.5       99.215       99.215       72.429    
  9.187946910       1.0000       56.757       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1069.1       1413.5       71.300       71.300      0.16096    
  10.03157721       1.0000       56.757       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       1035.9       1321.3       71.240       71.240       0.0000    
  10.90060265       1.0000       56.759       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       956.41       1195.1       74.724       74.724       1.3435    
  11.43451445       1.0000       56.757       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       824.03       1074.9       141.94       141.94       27.264    
  11.86106205       1.0000       56.757       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       597.89       869.94       265.84       265.84       75.741    
  12.33070534       1.0000       56.757       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       322.33       620.37       394.36       394.36       141.24    
  12.80216780       1.0000       56.757       37.836       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       242.15       563.77       393.31       393.31       181.67    
  13.25473096       1.0000       56.756       37.836       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       402.07       733.06       270.96       270.96       177.96    
  13.76434093       1.0000       56.755       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       638.16       953.99       148.37       148.37       129.81    
  14.24299272       1.0000       56.755       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       795.64       1078.9       94.062       94.062       61.604    
  14.83166688       1.0000       56.754       37.837       0.0000       0.0000      6.00000E-07  6.00000E-07   0.0000       0.0000       888.01       1154.3       74.728       74.728       9.4147    
