#      time         order        beleuchtun   brennstof1   brennstoff   gerate       hilfsenerg   luftung      raumkuhlu 
  0.000000000       1.0000       0.0000       0.0000       1837.9       142.48      1.20000E-06   92.599       0.0000    
 0.1600000000       1.0000       0.0000       0.0000       2448.9       142.48      1.20000E-06   94.532       0.0000    
 0.3200000000       1.0000       0.0000       0.0000       2727.3       142.48      1.20000E-06   94.587       0.0000    
 0.3641584608       1.0000       0.0000       0.0000       2773.7       142.48      1.20000E-06   94.591       0.0000    
 0.3641584636       1.0000       0.0000       0.0000       2773.7       142.48      1.20000E-06   94.591       0.0000    
 0.6201584636       1.0000       0.0000       0.0000       2716.5       142.48      1.20000E-06   94.592       0.0000    
 0.8761584636       1.0000       0.0000       0.0000       2669.3       142.48      1.20000E-06   94.591       0.0000    
  1.388158464       1.0000       0.0000       0.0000       2640.3       142.48      1.20000E-06   94.592       0.0000    
  2.412158464       1.0000       0.0000       0.0000       2573.1       142.48      1.20000E-06   94.593       0.0000    
  3.912158464       1.0000       0.0000       0.0000       2560.4       143.59      1.20000E-06   94.592       0.0000    
  5.412158464       1.0000       50.348       0.0000       2201.3       366.05      1.20000E-06   94.592       0.0000    
  6.297433212       1.0000       274.48       0.0000       1410.7       818.65      1.20000E-06   94.594       0.0000    
  7.225855919       1.0000       359.78       0.0000       1687.8       558.78      1.20000E-06   94.592       0.0000    
  8.161483220       1.0000       144.86       0.0000       2357.0       198.43      1.20000E-06   94.593       0.0000    
  9.187946910       1.0000      0.16096       0.0000       2482.6       142.60      1.20000E-06   94.593       0.0000    
  10.03157721       1.0000       0.0000       0.0000       2357.3       142.48      1.20000E-06   94.593       0.0000    
  10.90060265       1.0000       1.3435       0.0000       2151.6       149.45      1.20000E-06   94.596       0.0000    
  11.43451445       1.0000       27.264       0.0000       1898.9       283.88      1.20000E-06   94.594       0.0000    
  11.86106205       1.0000       75.741       0.0000       1467.8       531.68      1.20000E-06   94.593       0.0000    
  12.33070534       1.0000       141.24       0.0000       942.71       788.72      1.20000E-06   94.594       0.0000    
  12.80216780       1.0000       181.67       0.0000       805.92       786.61      1.20000E-06   94.594       0.0000    
  13.25473096       1.0000       177.96       0.0000       1135.1       541.93      1.20000E-06   94.592       0.0000    
  13.76434093       1.0000       129.81       0.0000       1592.1       296.74      1.20000E-06   94.592       0.0000    
  14.24299272       1.0000       61.604       0.0000       1874.5       188.12      1.20000E-06   94.591       0.0000    
  14.83166688       1.0000       9.4147       0.0000       2042.3       149.46      1.20000E-06   94.591       0.0000    
  15.88639879       1.0000       2.3076       0.0000       2200.0       143.33      1.20000E-06   94.589       0.0000    
  16.59321325       1.0000       84.198       0.0000       2105.9       173.67      1.20000E-06   94.592       0.0000    
  17.12604816       1.0000       229.33       0.0000       1843.1       261.76      1.20000E-06   94.592       0.0000    
  17.71025912       1.0000       351.25       0.0000       1320.9       521.49      1.20000E-06   94.593       0.0000    
  18.24962479       1.0000       384.60       0.0000       686.07       890.26      1.20000E-06   94.594       0.0000    
  18.94977328       1.0000       384.60       0.0000       177.67       1238.7      1.20000E-06   94.595       0.0000    
  19.78626644       1.0000       384.60       0.0000       286.16       1021.6      1.20000E-06   94.592       0.0000    
  20.62726100       1.0000       292.58       0.0000       1246.8       416.65      1.20000E-06   94.587       0.0000    
  21.50982991       1.0000       64.933       0.0000       1681.9       284.96      1.20000E-06   94.589       0.0000    
  22.75822102       1.0000       0.0000       0.0000       1820.9       239.21      1.20000E-06   94.591       0.0000    
