#      time         order        t            tair         tout      
  0.000000000       1.0000       2.1000       2.1000       21.000    
 0.1600000000       1.0000       2.1000       2.1000       20.915    
 0.3200000000       1.0000       2.1000       2.1000       20.963    
 0.3641584608       1.0000       2.1000       2.1000       20.978    
 0.3641584636       1.0000       2.1000       2.1000       20.978    
 0.6201584636       1.0000       2.1000       2.1000       21.008    
 0.8761584636       1.0000       2.1000       2.1000       21.004    
  1.388158464       1.0000       2.2164       2.2164       21.001    
  2.412158464       1.0000       2.6473       2.6473       21.001    
  3.912158464       1.0000       2.7264       2.7264       21.000    
  5.412158464       1.0000       3.0122       3.0122       21.005    
  6.297433212       1.0000       3.6595       3.6595       21.019    
  7.225855919       1.0000       3.8678       3.8678       20.994    
  8.161483220       1.0000       4.1807       4.1807       20.985    
  9.187946910       1.0000       4.6940       4.6940       20.997    
  10.03157721       1.0000       5.1379       5.1379       21.003    
  10.90060265       1.0000       6.1807       6.1807       21.005    
  11.43451445       1.0000       6.3869       6.3869       21.010    
  11.86106205       1.0000       6.4722       6.4722       21.021    
  12.33070534       1.0000       6.6984       6.6984       21.024    
  12.80216780       1.0000       6.9813       6.9813       21.006    
  13.25473096       1.0000       7.1000       7.1000       20.985    
  13.76434093       1.0000       7.1000       7.1000       20.981    
  14.24299272       1.0000       7.0757       7.0757       20.988    
  14.83166688       1.0000       7.0168       7.0168       20.994    
  15.88639879       1.0000       6.5568       6.5568       20.997    
  16.59321325       1.0000       6.6186       6.6186       21.003    
  17.12604816       1.0000       6.7378       6.7378       21.010    
  17.71025912       1.0000       6.9131       6.9131       21.019    
  18.24962479       1.0000       7.2247       7.2247       21.025    
  18.94977328       1.0000       7.8548       7.8548       21.072    
  19.78626644       1.0000       8.1359       8.1359       21.014    
  20.62726100       1.0000       7.4473       7.4473       20.975    
  21.50982991       1.0000       7.0000       7.0000       20.990    
  22.75822102       1.0000       6.8484       6.8484       20.998    
  24.00000000       1.0000       7.2000       7.2000       20.999    
  24.00000000       1.0000       7.2000       7.2000       20.999    
  24.28471348       1.0000       7.1715       7.1715       20.998    
  24.37149499       1.0000       7.1629       7.1629       20.999    
  24.37149500       1.0000       7.1629       7.1629       20.999    
  24.59926578       1.0000       7.1401       7.1401       21.000    
  24.82703657       1.0000       7.1173       7.1173       21.000    
  25.28257814       1.0000       7.0717       7.0717       21.000    
  26.19366128       1.0000       7.0000       7.0000       21.000    
  27.69366128       1.0000       6.7225       6.7225       20.999    
  29.19366128       1.0000       6.1194       6.1194       21.001    
  30.09283768       1.0000       6.1907       6.1907       21.017    
  31.08830303       1.0000       6.1177       6.1177       20.998    
  31.97757048       1.0000       6.2955       6.2955       20.983    
  33.04756084       1.0000       6.4952       6.4952       20.997    
  33.88941110       1.0000       6.4111       6.4111       21.009    
  34.76127594       1.0000       7.0090       7.0090       21.004    
  35.34732472       1.0000       7.2695       7.2695       21.003    
  35.78281607       1.0000       7.3566       7.3566       21.017    
  36.27930039       1.0000       7.3441       7.3441       21.024    
  36.72577459       1.0000       7.2548       7.2548       21.009    
  37.18620934       1.0000       7.2745       7.2745       20.991    
  37.72702919       1.0000       7.4908       7.4908       20.988    
  38.19777956       1.0000       7.4813       7.4813       20.989    
  38.78099773       1.0000       7.1314       7.1314       20.991    
  39.75042998       1.0000       7.3752       7.3752       20.992    
  40.48562907       1.0000       6.9172       6.9172       20.997    
  41.03121668       1.0000       6.3031       6.3031       21.004    
  41.64408862       1.0000       6.3644       6.3644       21.016    
  42.17085830       1.0000       6.5025       6.5025       21.023    
  42.84686747       1.0000       6.9081       6.9081       21.025    
  43.11727114       1.0000       6.9531       6.9531       21.032    
  43.65807848       1.0000       6.7368       6.7368       20.993    
  44.34432176       1.0000       6.5656       6.5656       20.975    
  45.08634580       1.0000       6.5691       6.5691       20.984    
  46.57039388       1.0000       7.3000       7.3000       20.999    
  47.82906358       1.0000       6.6367       6.6367       20.996    
  48.00000000       1.0000       6.5000       6.5000       20.997    
  48.00000000       1.0000       6.5000       6.5000       20.997    
  48.28918681       1.0000       6.5000       6.5000       20.999    
  48.37886363       1.0000       6.5000       6.5000       21.000    
  48.37886363       1.0000       6.5000       6.5000       21.000    
  48.61021308       1.0000       6.5000       6.5000       21.000    
  48.84156252       1.0000       6.5000       6.5000       21.000    
