#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  0.000000000       1.0000       0.0000      -273.33       0.0000       71.240       984.46      -492.98       0.0000       0.0000       181.26      -331.18    
 0.1600000000       1.0000       0.0000      -331.88       0.0000       71.240       1287.2      -493.15       0.0000       0.0000       181.26      -334.39    
 0.3200000000       1.0000       0.0000      -420.81       0.0000       71.240       1430.8      -494.38       0.0000       0.0000       181.26      -336.46    
 0.3641584608       1.0000       0.0000      -440.05       0.0000       71.240       1455.3      -494.68       0.0000       0.0000       181.26      -337.06    
 0.3641584636       1.0000       0.0000      -440.05       0.0000       71.240       1455.3      -494.68       0.0000       0.0000       181.26      -337.06    
 0.6201584636       1.0000       0.0000      -445.23       0.0000       71.240       1428.2      -495.02       0.0000       0.0000       181.26      -338.33    
 0.8761584636       1.0000       0.0000      -430.26       0.0000       71.240       1404.2      -494.89       0.0000       0.0000       181.26      -338.17    
  1.388158464       1.0000       0.0000      -423.22       0.0000       71.240       1389.8      -490.83       0.0000       0.0000       181.26      -335.48    
  2.412158464       1.0000       0.0000      -414.82       0.0000       71.240       1354.7      -480.21       0.0000       0.0000       181.26      -322.95    
  3.912158464       1.0000       0.0000      -412.43       0.0000       71.795       1345.8      -477.41       0.0000       0.0000       181.26      -331.83    
  5.412158464       1.0000       0.0000      -391.79     -0.17881       183.03       1179.8      -471.68       25.174       0.0000       171.76      -314.98    
  6.297433212       1.0000       0.0000      -372.79     -0.97480       409.33       816.46      -454.09       137.24       0.0000       126.27      -287.11    
  7.225855919       1.0000       0.0000      -398.60      -1.2777       279.39       937.85      -441.27       179.89       0.0000       79.825      -267.97    
  8.161483220       1.0000       0.0000      -392.23     -0.51446       99.215       1235.2      -429.41       72.429       0.0000       27.405      -241.54    
  9.187946910       1.0000       0.0000      -435.34       73.919       71.300       1272.1      -393.66       0.0000       0.0000      6.06860E-02  -214.38    
  10.03157721       1.0000       0.0000      -520.27       177.41       71.240       1189.2      -346.75       0.0000       0.0000       0.0000      -190.66    
  10.90060265       1.0000       0.0000      -535.31       223.85       74.724       1075.6      -309.49       0.0000       0.0000       1.0130      -132.85    
  11.43451445       1.0000       0.0000      -491.30       199.58       141.94       967.37      -310.50       0.0000       0.0000       20.558      -92.422    
  11.86106205       1.0000       0.0000      -482.13       215.29       265.84       782.94      -303.15       0.0000       0.0000       56.805      -59.190    
  12.33070534       1.0000       0.0000      -469.57       242.07       394.36       558.34      -289.23       0.0000       0.0000       99.182      -38.173    
  12.80216780       1.0000       0.0000      -443.86       236.79       393.31       507.40      -283.20       0.0000       0.0000       111.71      -23.254    
  13.25473096       1.0000       0.0000      -438.43       214.83       270.96       659.75      -286.61       0.0000       0.0000       89.792      -13.636    
  13.76434093       1.0000       0.0000      -450.68       189.60       148.37       858.59      -293.89       0.0000       0.0000       53.870      -7.7510    
  14.24299272       1.0000       0.0000      -450.53       165.29       94.062       971.01      -301.35       0.0000       0.0000       23.226      -11.169    
  14.83166688       1.0000       0.0000      -414.17       113.11       74.728       1038.9      -317.38       0.0000       0.0000       3.5496      -25.456    
  15.88639879       1.0000       0.0000      -348.25       21.107       71.667       1128.8      -360.04       1.1538       0.0000      0.43501      -69.568    
  16.59321325       1.0000       0.0000      -355.11     -0.29903       86.836       1093.1      -364.98       42.099       0.0000       15.872      -70.145    
  17.12604816       1.0000       0.0000      -384.05     -0.81446       130.88       976.57      -361.94       114.67       0.0000       46.143      -59.762    
  17.71025912       1.0000       0.0000      -381.56      -1.2474       260.74       741.42      -357.26       175.62       0.0000       87.322      -25.229    
  18.24962479       1.0000       0.0000      -340.52      -1.3659       445.13       452.43      -348.56       192.30       0.0000       122.08       7.8557    
  18.94977328       1.0000       0.0000      -282.13      -1.3659       619.36       159.90      -331.03       192.30       0.0000       143.24       52.846    
  19.78626644       1.0000       0.0000      -294.29      -1.3659       510.81       257.54      -323.25       192.30       0.0000       145.01       59.577    
  20.62726100       1.0000       0.0000      -361.34      -1.0391       208.33       710.51      -341.43       146.29       0.0000       153.68       26.188    
  21.50982991       1.0000       0.0000      -359.11     -0.23061       142.48       904.77      -352.82       32.467       0.0000       175.14      -1.1593    
  22.75822102       1.0000       0.0000      -362.53      2.32025E-48   119.60       967.58      -356.70       0.0000       0.0000       181.26      -21.852    
  24.00000000       1.0000       0.0000      -366.94      4.96061E-51   78.732       1005.0      -362.46       0.0000       0.0000       181.26      -33.005    
  24.00000000       1.0000       0.0000      -365.53     -8.41263E-84   71.240       1005.0      -362.44       0.0000       0.0000       181.26      -33.005    
  24.28471348       1.0000       0.0000      -369.51       0.0000       71.240       1019.0      -364.65       0.0000       0.0000       181.26      -34.922    
  24.37149499       1.0000       0.0000      -370.45       0.0000       71.240       1021.1      -365.28       0.0000       0.0000       181.26      -35.535    
  24.37149500       1.0000       0.0000      -370.45       0.0000       71.240       1021.1      -365.28       0.0000       0.0000       181.26      -35.535    
  24.59926578       1.0000       0.0000      -370.95       0.0000       71.240       1023.4      -366.83       0.0000       0.0000       181.26      -37.110    
  24.82703657       1.0000       0.0000      -370.93       0.0000       71.240       1025.4      -368.26       0.0000       0.0000       181.26      -38.653    
  25.28257814       1.0000       0.0000      -372.59       0.0000       71.240       1028.5      -367.88       0.0000       0.0000       181.26      -44.951    
  26.19366128       1.0000       0.0000      -376.53       0.0000       71.240       1030.2      -362.81       0.0000       0.0000       181.26      -57.906    
  27.69366128       1.0000       0.0000      -378.58       0.0000       71.240       1060.7      -380.61       0.0000       0.0000       181.26      -87.929    
  29.19366128       1.0000       0.0000      -376.93     -7.40792E-02   140.58       1015.5      -390.61       10.429       0.0000       177.32      -105.68    
  30.09283768       1.0000       0.0000      -362.79     -0.77981       371.78       693.32      -383.72       109.79       0.0000       138.66      -100.99    
  31.08830303       1.0000       0.0000      -384.27      -1.3112       321.75       734.81      -391.08       184.60       0.0000       86.404      -100.81    
  31.97757048       1.0000       0.0000      -387.96     -0.70635       116.01       1055.5      -388.65       99.445       0.0000       38.167      -93.187    
  33.04756084       1.0000       0.0000      -589.47       266.00       71.994       1074.5      -304.57       0.0000       0.0000      0.76751      -81.322    
  33.88941110       1.0000       0.0000      -1217.8       990.45       71.240       781.08      -101.24       0.0000       0.0000       0.0000      -101.29    
  34.76127594       1.0000       0.0000      -1178.6       1019.2       71.240       672.64      -88.063       0.0000       0.0000       0.0000      -58.866    
  35.34732472       1.0000       0.0000      -757.58       625.70       124.45       669.71      -187.30       0.0000       0.0000       15.473      -41.839    
  35.78281607       1.0000       0.0000      -783.03       659.49       239.04       510.13      -172.36       0.0000       0.0000       48.791      -39.105    
  36.27930039       1.0000       0.0000      -954.45       874.03       385.97       226.30      -115.41       0.0000       0.0000       95.817      -43.149    
  36.72577459       1.0000       0.0000      -1178.5       1138.9       400.78       89.745      -49.087       0.0000       0.0000       111.40      -51.226    
  37.18620934       1.0000       0.0000      -1345.7       1327.7       291.17       137.22       1.0969       0.0000       0.0000       94.482      -52.943    
  37.72702919       1.0000       0.0000      -1433.9       1428.4       155.57       239.83       46.057       0.0000       0.0000       56.500      -44.721    
  38.19777956       1.0000       0.0000      -1218.5       1218.2       96.163       368.81      -5.1252       0.0000       0.0000       25.309      -46.101    
  38.78099773       1.0000       0.0000      -892.35       881.35       75.668       524.92      -100.20       0.0000       0.0000       4.5063      -62.549    
  39.75042998       1.0000       0.0000      -212.75       112.27       71.240       835.33      -322.98       0.0000       0.0000       0.0000      -52.442    
  40.48562907       1.0000       0.0000      -181.28      0.64087       83.110       923.17      -364.33       32.042       0.0000       12.081      -52.971    
  41.03121668       1.0000       0.0000      -238.54     -0.71552       117.28       896.82      -379.17       100.74       0.0000       39.459      -61.936    
  41.64408862       1.0000       0.0000      -260.37      -1.2161       241.43       689.93      -377.62       171.21       0.0000       82.658      -74.817    
  42.17085830       1.0000       0.0000      -233.74      -1.3631       418.89       428.85      -373.66       191.91       0.0000       118.07      -75.446    
  42.84686747       1.0000       0.0000      -184.94      -1.3659       603.07       148.52      -362.53       192.30       0.0000       141.68      -47.899    
  43.11727114       1.0000       0.0000      -170.30      -1.3659       629.63       97.127      -360.83       192.30       0.0000       144.59      -41.166    
  43.65807848       1.0000       0.0000      -191.80      -1.3659       550.13       210.14      -365.20       192.30       0.0000       145.01      -40.190    
  44.34432176       1.0000       0.0000      -256.99      -1.2216       288.96       574.87      -378.71       171.98       0.0000       148.84      -47.695    
  45.08634580       1.0000       0.0000      -278.53     -0.59285       146.98       826.06      -386.33       83.466       0.0000       165.52      -60.004    
  46.57039388       1.0000       0.0000      -269.06     -1.24016E-48   127.67       848.89      -355.67       0.0000       0.0000       181.26      -29.517    
  47.82906358       1.0000       0.0000      -299.31     -1.46113E-82   79.336       959.66      -364.30       0.0000       0.0000       181.26      -71.880    
  48.00000000       1.0000       0.0000      -303.94      9.19431E-49   78.732       972.94      -366.39       0.0000       0.0000       181.26      -80.118    
  48.00000000       1.0000       0.0000      -302.53     -2.59602E-80   71.240       972.94      -366.38       0.0000       0.0000       181.26      -80.118    
  48.28918681       1.0000       0.0000      -310.53       0.0000       71.240       988.23      -366.29       0.0000       0.0000       181.26      -78.615    
  48.37886363       1.0000       0.0000      -311.80       0.0000       71.240       989.31      -366.25       0.0000       0.0000       181.26      -78.161    
  48.37886363       1.0000       0.0000      -311.80       0.0000       71.240       989.31      -366.25       0.0000       0.0000       181.26      -78.161    
  48.61021308       1.0000       0.0000      -312.60       0.0000       71.240       988.69      -366.12       0.0000       0.0000       181.26      -76.923    
  48.84156252       1.0000       0.0000      -313.24       0.0000       71.240       988.92      -365.99       0.0000       0.0000       181.26      -75.649    
  49.30426141       1.0000       0.0000      -316.03       0.0000       71.240       994.68      -366.82       0.0000       0.0000       181.26      -68.914    
  50.22965919       1.0000       0.0000      -324.09       0.0000       71.240       1018.9      -372.56       0.0000       0.0000       181.26      -68.986    
  51.72965919       1.0000       0.0000      -321.96       0.0000       71.240       975.67      -357.65       0.0000       0.0000       181.26      -53.643    
  53.22965919       1.0000       0.0000      -294.66     -8.99494E-02   147.21       780.90      -327.92       12.664       0.0000       176.48       20.044    
  54.11909138       1.0000       0.0000      -275.07     -0.80721       378.14       459.63      -333.15       113.64       0.0000       137.01      -71.872    
  55.09445960       1.0000       0.0000      -303.01      -1.3100       319.83       520.83      -339.01       184.44       0.0000       86.110      -51.245    
  55.98773669       1.0000       0.0000      -323.12     -0.69574       114.56       912.03      -353.02       97.951       0.0000       37.527      -69.956    
  57.03659776       1.0000       0.0000      -339.18       43.088       72.048       1012.1      -325.69       0.0000       0.0000      0.82271      -74.991    
  57.87499262       1.0000       0.0000      -418.04       130.32       71.240       985.73      -303.83       0.0000       0.0000       0.0000      -85.492    
  58.74268573       1.0000       0.0000      -449.59       164.03       71.240       1028.7      -316.82       0.0000       0.0000       0.0000      -95.845    
  59.33649617       1.0000       0.0000      -393.95       105.91       122.58       1014.0      -342.71       0.0000       0.0000       14.928      -109.20    
  59.77375883       1.0000       0.0000      -369.20       90.379       236.21       885.48      -350.01       0.0000       0.0000       47.970      -121.45    
  60.27374094       1.0000       0.0000      -333.90       82.363       385.06       691.96      -358.19       0.0000       0.0000       95.454      -124.52    
