#      time         order        q_doors      q_floor      q_roof       q_tb         q_walls      q_win     
  0.000000000       1.0000       0.0000       0.0000      -86.531       0.0000      -177.50      -93.836    
 0.1600000000       1.0000       0.0000       0.0000      -92.780       0.0000      -189.94      -93.896    
 0.3200000000       1.0000       0.0000       0.0000      -102.87       0.0000      -202.65      -94.100    
 0.3641584608       1.0000       0.0000       0.0000      -104.89       0.0000      -205.25      -94.147    
 0.3641584636       1.0000       0.0000       0.0000      -104.89       0.0000      -205.25      -94.147    
 0.6201584636       1.0000       0.0000       0.0000      -103.00       0.0000      -204.66      -94.198    
 0.8761584636       1.0000       0.0000       0.0000      -100.12       0.0000      -201.65      -94.183    
  1.388158464       1.0000       0.0000       0.0000      -100.29       0.0000      -198.93      -93.418    
  2.412158464       1.0000       0.0000       0.0000      -105.31       0.0000      -195.34      -91.418    
  3.912158464       1.0000       0.0000       0.0000      -112.86       0.0000      -194.37      -90.881    
  5.412158464       1.0000       0.0000       0.0000      -116.30       0.0000      -190.59      -89.808    
  6.297433212       1.0000       0.0000       0.0000      -116.66       0.0000      -186.87      -86.524    
  7.225855919       1.0000       0.0000       0.0000      -119.36       0.0000      -193.14      -84.053    
  8.161483220       1.0000       0.0000       0.0000      -117.15       0.0000      -192.24      -81.770    
  9.187946910       1.0000       0.0000       0.0000      -114.54       0.0000      -190.59      -78.864    
  10.03157721       1.0000       0.0000       0.0000      -112.69       0.0000      -192.98      -75.365    
  10.90060265       1.0000       0.0000       0.0000      -106.81       0.0000      -190.60      -70.581    
  11.43451445       1.0000       0.0000       0.0000      -104.14       0.0000      -190.16      -69.525    
  11.86106205       1.0000       0.0000       0.0000      -102.33       0.0000      -190.42      -68.984    
  12.33070534       1.0000       0.0000       0.0000      -99.058       0.0000      -189.28      -67.824    
  12.80216780       1.0000       0.0000       0.0000      -95.946       0.0000      -188.80      -66.464    
  13.25473096       1.0000       0.0000       0.0000      -94.631       0.0000      -191.14      -65.957    
  13.76434093       1.0000       0.0000       0.0000      -93.352       0.0000      -193.28      -66.048    
  14.24299272       1.0000       0.0000       0.0000      -90.242       0.0000      -191.03      -66.233    
  14.83166688       1.0000       0.0000       0.0000      -87.390       0.0000      -188.07      -66.692    
  15.88639879       1.0000       0.0000       0.0000      -86.696       0.0000      -188.41      -69.586    
  16.59321325       1.0000       0.0000       0.0000      -88.364       0.0000      -191.37      -69.431    
  17.12604816       1.0000       0.0000       0.0000      -90.893       0.0000      -195.97      -68.904    
  17.71025912       1.0000       0.0000       0.0000      -89.528       0.0000      -194.06      -68.029    
  18.24962479       1.0000       0.0000       0.0000      -84.622       0.0000      -184.36      -66.388    
  18.94977328       1.0000       0.0000       0.0000      -90.868       0.0000      -191.92      -63.474    
  19.78626644       1.0000       0.0000       0.0000      -81.540       0.0000      -177.02      -61.826    
  20.62726100       1.0000       0.0000       0.0000      -86.085       0.0000      -184.87      -65.106    
  21.50982991       1.0000       0.0000       0.0000      -86.604       0.0000      -184.57      -67.201    
