#      time         order        tairmean     top       
  0.000000000       1.0000       21.000       21.101    
 0.1600000000       1.0000       20.925       21.103    
 0.3200000000       1.0000       20.969       21.147    
 0.3641584608       1.0000       20.982       21.158    
 0.3641584636       1.0000       20.982       21.158    
 0.6201584636       1.0000       21.007       21.171    
 0.8761584636       1.0000       21.003       21.167    
  1.388158464       1.0000       21.001       21.166    
  2.412158464       1.0000       21.001       21.162    
  3.912158464       1.0000       21.000       21.160    
  5.412158464       1.0000       21.005       21.146    
  6.297433212       1.0000       21.018       21.132    
  7.225855919       1.0000       20.994       21.134    
  8.161483220       1.0000       20.985       21.129    
  9.187946910       1.0000       20.997       21.123    
  10.03157721       1.0000       21.002       21.122    
  10.90060265       1.0000       21.004       21.111    
  11.43451445       1.0000       21.010       21.109    
  11.86106205       1.0000       21.022       21.109    
  12.33070534       1.0000       21.025       21.102    
  12.80216780       1.0000       21.007       21.093    
  13.25473096       1.0000       20.985       21.091    
  13.76434093       1.0000       20.980       21.096    
  14.24299272       1.0000       20.986       21.096    
  14.83166688       1.0000       20.993       21.094    
  15.88639879       1.0000       20.998       21.098    
  16.59321325       1.0000       21.003       21.107    
  17.12604816       1.0000       21.011       21.119    
  17.71025912       1.0000       21.019       21.118    
  18.24962479       1.0000       21.024       21.095    
  18.94977328       1.0000       21.124       21.139    
  19.78626644       1.0000       21.034       21.078    
  20.62726100       1.0000       20.976       21.079    
  21.50982991       1.0000       20.990       21.087    
  22.75822102       1.0000       20.998       21.092    
  24.00000000       1.0000       20.999       21.094    
  24.00000000       1.0000       20.999       21.093    
  24.28471348       1.0000       20.998       21.095    
  24.37149499       1.0000       20.999       21.096    
  24.37149500       1.0000       20.999       21.096    
  24.59926578       1.0000       21.000       21.096    
  24.82703657       1.0000       21.000       21.096    
  25.28257814       1.0000       21.000       21.097    
  26.19366128       1.0000       21.000       21.097    
  27.69366128       1.0000       20.999       21.099    
  29.19366128       1.0000       21.002       21.098    
  30.09283768       1.0000       21.016       21.089    
  31.08830303       1.0000       20.998       21.093    
  31.97757048       1.0000       20.983       21.093    
  33.04756084       1.0000       20.995       21.090    
  33.88941110       1.0000       21.001       21.101    
  34.76127594       1.0000       21.002       21.093    
  35.34732472       1.0000       21.006       21.085    
  35.78281607       1.0000       21.017       21.077    
  36.27930039       1.0000       21.020       21.059    
  36.72577459       1.0000       21.005       21.044    
  37.18620934       1.0000       20.987       21.046    
  37.72702919       1.0000       20.985       21.063    
  38.19777956       1.0000       20.991       21.078    
  38.78099773       1.0000       20.995       21.089    
  39.75042998       1.0000       20.999       21.084    
  40.48562907       1.0000       21.000       21.093    
  41.03121668       1.0000       21.005       21.112    
  41.64408862       1.0000       21.017       21.118    
  42.17085830       1.0000       21.024       21.101    
  42.84686747       1.0000       21.031       21.075    
  43.11727114       1.0000       21.055       21.089    
  43.65807848       1.0000       20.995       21.051    
  44.34432176       1.0000       20.976       21.076    
  45.08634580       1.0000       20.985       21.091    
  46.57039388       1.0000       20.999       21.082    
  47.82906358       1.0000       20.996       21.094    
  48.00000000       1.0000       20.997       21.096    
  48.00000000       1.0000       20.997       21.095    
  48.28918681       1.0000       20.999       21.099    
  48.37886363       1.0000       21.000       21.100    
  48.37886363       1.0000       21.000       21.100    
  48.61021308       1.0000       21.000       21.100    
  48.84156252       1.0000       21.000       21.100    
  49.30426141       1.0000       21.000       21.100    
  50.22965919       1.0000       20.999       21.103    
  51.72965919       1.0000       21.001       21.098    
  53.22965919       1.0000       21.006       21.075    
  54.11909138       1.0000       21.017       21.061    
  55.09445960       1.0000       20.997       21.065    
  55.98773669       1.0000       20.980       21.074    
  57.03659776       1.0000       20.995       21.068    
  57.87499262       1.0000       21.000       21.072    
  58.74268573       1.0000       20.997       21.080    
  59.33649617       1.0000       21.004       21.087    
  59.77375883       1.0000       21.018       21.094    
  60.27374094       1.0000       21.023       21.094    
  60.71901783       1.0000       21.006       21.090    
  61.18243655       1.0000       20.986       21.094    
  61.72533667       1.0000       20.981       21.102    
  62.19667389       1.0000       20.986       21.102    
  62.78081331       1.0000       20.993       21.101    
  63.75542510       1.0000       21.001       21.097    
  64.49044195       1.0000       21.003       21.101    
  65.03598772       1.0000       21.008       21.113    
  65.64730512       1.0000       21.017       21.117    
  66.17534654       1.0000       21.022       21.102    
  66.85295717       1.0000       21.016       21.073    
  66.90716602       1.0000       21.014       21.070    
  67.01558372       1.0000       21.009       21.064    
  67.05895080       1.0000       21.007       21.062    
