#      time         order        zone_3_ce1   zone_3_cei   zone_3_lea   zone_3_wa1   zone_3_wa2   zone_3_wal
  0.000000000       1.0000       30.830       31.877       0.0000       34.679       0.0000       34.728    
 0.1600000000       1.0000       30.900       31.949       0.0000       34.679       0.0000       34.723    
 0.3200000000       1.0000       30.995       32.046       0.0000       34.701       0.0000       34.741    
 0.3641584608       1.0000       31.024       32.075       0.0000       34.708       0.0000       34.747    
 0.3641584636       1.0000       31.024       32.075       0.0000       34.708       0.0000       34.747    
 0.6201584636       1.0000       31.267       32.317       0.0000       34.774       0.0000       34.808    
 0.8761584636       1.0000       31.675       32.715       0.0000       34.859       0.0000       34.890    
  1.388158464       1.0000       32.934       33.933       0.0000       35.026       0.0000       35.057    
  2.412158464       1.0000       35.946       36.847       0.0000       35.291       0.0000       35.328    
  3.912158464       1.0000       39.536       40.349       0.0000       35.624       0.0000       35.678    
  5.412158464       1.0000       41.920       42.742       0.0000       35.954       0.0000       36.033    
  6.297433212       1.0000       42.768       43.689       0.0000       36.123       0.0000       36.227    
  7.225855919       1.0000       43.039       44.094       0.0000       36.287       0.0000       36.417    
  8.161483220       1.0000       42.831       43.966       0.0000       36.446       0.0000       36.594    
  9.187946910       1.0000       42.079       43.311       0.0000       36.556       0.0000       36.759    
  10.03157721       1.0000       41.033       42.399       0.0000       36.593       0.0000       36.857    
  10.90060265       1.0000       39.461       41.021       0.0000       36.580       0.0000       36.898    
  11.43451445       1.0000       38.352       40.024       0.0000       36.568       0.0000       36.909    
  11.86106205       1.0000       37.404       39.153       0.0000       36.560       0.0000       36.911    
  12.33070534       1.0000       36.312       38.135       0.0000       36.552       0.0000       36.905    
  12.80216780       1.0000       35.196       37.085       0.0000       36.542       0.0000       36.887    
  13.25473096       1.0000       34.143       36.084       0.0000       36.529       0.0000       36.858    
  13.76434093       1.0000       33.023       34.998       0.0000       36.510       0.0000       36.812    
  14.24299272       1.0000       32.069       34.054       0.0000       36.486       0.0000       36.755    
  14.83166688       1.0000       31.124       33.084       0.0000       36.455       0.0000       36.680    
  15.88639879       1.0000       30.281       32.118       0.0000       36.405       0.0000       36.575    
  16.59321325       1.0000       30.039       31.775       0.0000       36.359       0.0000       36.513    
  17.12604816       1.0000       29.992       31.649       0.0000       36.314       0.0000       36.463    
  17.71025912       1.0000       30.022       31.602       0.0000       36.250       0.0000       36.400    
  18.24962479       1.0000       30.063       31.582       0.0000       36.176       0.0000       36.331    
  18.94977328       1.0000       30.037       31.487       0.0000       36.051       0.0000       36.214    
  19.78626644       1.0000       29.873       31.229       0.0000       35.888       0.0000       36.047    
  20.62726100       1.0000       29.702       30.956       0.0000       35.759       0.0000       35.906    
  21.50982991       1.0000       29.643       30.798       0.0000       35.665       0.0000       35.795    
  22.75822102       1.0000       29.808       30.855       0.0000       35.568       0.0000       35.672    
  24.00000000       1.0000       30.271       31.320       0.0000       35.492       0.0000       35.554    
  24.00000000       1.0000       30.271       31.320       0.0000       35.492       0.0000       35.554    
  24.28471348       1.0000       30.389       31.443       0.0000       35.475       0.0000       35.527    
  24.37149499       1.0000       30.428       31.485       0.0000       35.470       0.0000       35.519    
  24.37149500       1.0000       30.428       31.485       0.0000       35.470       0.0000       35.519    
  24.59926578       1.0000       30.538       31.605       0.0000       35.458       0.0000       35.498    
  24.82703657       1.0000       30.662       31.742       0.0000       35.446       0.0000       35.477    
  25.28257814       1.0000       30.940       32.057       0.0000       35.423       0.0000       35.435    
  26.19366128       1.0000       31.417       32.613       0.0000       35.369       0.0000       35.346    
  27.69366128       1.0000       32.290       33.624       0.0000       35.357       0.0000       35.272    
  29.19366128       1.0000       33.329       34.654       0.0000       35.403       0.0000       35.276    
  30.09283768       1.0000       33.930       35.170       0.0000       35.427       0.0000       35.285    
  31.08830303       1.0000       34.535       35.676       0.0000       35.470       0.0000       35.313    
  31.97757048       1.0000       34.980       36.082       0.0000       35.512       0.0000       35.336    
  33.04756084       1.0000       34.846       36.492       0.0000       35.283       0.0000       35.389    
  33.88941110       1.0000       33.739       36.788       0.0000       34.868       0.0000       35.484    
  34.76127594       1.0000       31.580       36.831       0.0000       34.454       0.0000       35.603    
  35.34732472       1.0000       29.995       36.630       0.0000       34.263       0.0000       35.673    
  35.78281607       1.0000       28.822       36.335       0.0000       34.167       0.0000       35.716    
  36.27930039       1.0000       27.473       35.843       0.0000       34.114       0.0000       35.757    
  36.72577459       1.0000       26.193       35.341       0.0000       34.113       0.0000       35.781    
  37.18620934       1.0000       24.761       34.840       0.0000       34.155       0.0000       35.774    
  37.72702919       1.0000       22.927       34.361       0.0000       34.249       0.0000       35.679    
  38.19777956       1.0000       21.349       34.035       0.0000       34.356       0.0000       35.533    
  38.78099773       1.0000       19.805       33.747       0.0000       34.511       0.0000       35.299    
  39.75042998       1.0000       19.337       33.301       0.0000       34.678       0.0000       35.007    
  40.48562907       1.0000       20.073       32.986       0.0000       34.751       0.0000       34.874    
  41.03121668       1.0000       21.085       32.814       0.0000       34.790       0.0000       34.815    
  41.64408862       1.0000       22.557       32.734       0.0000       34.815       0.0000       34.770    
  42.17085830       1.0000       23.919       32.742       0.0000       34.821       0.0000       34.736    
  42.84686747       1.0000       25.577       32.810       0.0000       34.803       0.0000       34.684    
  43.11727114       1.0000       26.213       32.841       0.0000       34.793       0.0000       34.663    
  43.65807848       1.0000       27.347       32.909       0.0000       34.773       0.0000       34.628    
  44.34432176       1.0000       28.634       33.076       0.0000       34.769       0.0000       34.612    
  45.08634580       1.0000       29.922       33.423       0.0000       34.785       0.0000       34.616    
  46.57039388       1.0000       31.294       33.756       0.0000       34.744       0.0000       34.544    
  47.82906358       1.0000       31.861       33.735       0.0000       34.738       0.0000       34.543    
  48.00000000       1.0000       31.928       33.727       0.0000       34.738       0.0000       34.544    
  48.00000000       1.0000       31.928       33.727       0.0000       34.738       0.0000       34.544    
  48.28918681       1.0000       32.022       33.702       0.0000       34.740       0.0000       34.549    
  48.37886363       1.0000       32.048       33.693       0.0000       34.741       0.0000       34.551    
  48.37886363       1.0000       32.048       33.693       0.0000       34.741       0.0000       34.551    
  48.61021308       1.0000       32.104       33.662       0.0000       34.745       0.0000       34.558    
  48.84156252       1.0000       32.149       33.626       0.0000       34.750       0.0000       34.567    
  49.30426141       1.0000       32.216       33.546       0.0000       34.764       0.0000       34.588    
  50.22965919       1.0000       32.361       33.438       0.0000       34.811       0.0000       34.649    
  51.72965919       1.0000       32.290       33.167       0.0000       34.827       0.0000       34.696    
  53.22965919       1.0000       31.560       32.493       0.0000       34.737       0.0000       34.589    
  54.11909138       1.0000       31.042       32.134       0.0000       34.688       0.0000       34.508    
  55.09445960       1.0000       30.543       31.923       0.0000       34.649       0.0000       34.414    
  55.98773669       1.0000       30.241       31.872       0.0000       34.639       0.0000       34.357    
  57.03659776       1.0000       29.872       31.722       0.0000       34.574       0.0000       34.269    
