#      time         order        t            tair         tout      
  72.00000000       1.0000       4.8000       4.8000       21.002    
  72.16000000       1.0000       4.4000       4.4000       21.017    
  72.32000000       1.0000       4.0000       4.0000       21.001    
  72.38621698       1.0000       3.8345       3.8345       20.996    
  72.38621698       1.0000       3.8345       3.8345       20.996    
  72.64221698       1.0000       3.1945       3.1945       20.992    
  72.89821698       1.0000       2.5545       2.5545       20.993    
  73.41021698       1.0000       2.5051       2.5051       20.999    
  74.43421698       1.0000       2.9737       2.9737       21.001    
  75.93421698       1.0000       3.6671       3.6671       21.001    
  77.43421698       1.0000       3.7303       3.7303       21.000    
  78.93421698       1.0000       3.9000       3.9000       21.000    
  80.43421698       1.0000       3.6658       3.6658       21.000    
  81.93421698       1.0000       2.6329       2.6329       20.999    
  83.43421698       1.0000       2.2868       2.2868       21.000    
  84.93421698       1.0000       2.6803       2.6803       21.001    
  86.43421698       1.0000      0.77894      0.77894       20.996    
  87.93421698       1.0000      0.56711      0.56711       20.999    
  89.43421698       1.0000       1.4000       1.4000       21.001    
  90.93421698       1.0000       1.3066       1.3066       21.000    
  92.43421698       1.0000       1.6737       1.6737       21.000    
  93.93421698       1.0000       1.8066       1.8066       21.000    
  95.43421698       1.0000       2.5040       2.5040       21.001    
  96.00000000       1.0000       2.9000       2.9000       21.002    
  96.00000000       1.0000       2.9000       2.9000       21.002    
  96.30158031       1.0000       2.8698       2.8698       21.000    
  96.39334524       1.0000       2.8607       2.8607       20.999    
  96.39334525       1.0000       2.8607       2.8607       20.999    
  96.63460949       1.0000       2.8365       2.8365       21.000    
  96.87587374       1.0000       2.8124       2.8124       21.000    
  97.35840222       1.0000       2.8000       2.8000       21.000    
  98.32345920       1.0000       2.9294       2.9294       21.000    
  99.82345920       1.0000       2.9530       2.9530       21.000    
  101.3234592       1.0000       3.5677       3.5677       21.001    
  102.8234592       1.0000       3.4177       3.4177       21.000    
  104.3234592       1.0000       2.6205       2.6205       20.999    
  105.8234592       1.0000       3.1706       3.1706       21.003    
  107.3234592       1.0000       4.5469       4.5469       21.009    
  108.8234592       1.0000       5.2412       5.2412       21.000    
  110.3234592       1.0000       3.0677       3.0677       20.997    
  111.8234592       1.0000       2.4236       2.4236       20.993    
  113.3234592       1.0000       1.7412       1.7412       20.997    
  114.8234592       1.0000       1.1177       1.1177       20.999    
  116.3234592       1.0000       2.4528       2.4528       21.002    
  117.8234592       1.0000       2.9883       2.9883       21.001    
  119.3234592       1.0000       2.2030       2.2030       20.999    
  120.0000000       1.0000       2.0000       2.0000       20.999    
  120.0000000       1.0000       2.0000       2.0000       20.999    
  120.3064111       1.0000       2.1838       2.1838       21.001    
  120.4004368       1.0000       2.2403       2.2403       21.002    
  120.4004368       1.0000       2.2403       2.2403       21.002    
  120.6455657       1.0000       2.3873       2.3873       21.001    
  120.8906945       1.0000       2.5344       2.5344       21.001    
  121.3809522       1.0000       2.1429       2.1429       20.998    
  122.3614677       1.0000       1.2916       1.2916       20.998    
  123.8614677       1.0000      0.92771      0.92771       20.999    
  125.3614677       1.0000      6.99080E-02  6.99080E-02   20.998    
  126.7323077       1.0000     -5.20000E-02 -5.20000E-02   21.000    
  126.7323077       1.0000     -5.20000E-02 -5.20000E-02   21.000    
  128.3011324       1.0000     -0.63011     -0.63011       21.000    
  129.6233333       1.0000      4.80000E-02  4.80000E-02   21.002    
  129.6233333       1.0000      4.80000E-02  4.80000E-02   21.002    
  130.8783931       1.0000      0.76352      0.76352       21.003    
  132.1334529       1.0000       3.3068       3.3068       21.007    
  133.6334529       1.0000       3.6199       3.6199       21.001    
  135.1334529       1.0000       3.0333       3.0333       20.997    
  136.6334529       1.0000       2.9167       2.9167       20.998    
  138.1334529       1.0000       3.3000       3.3000       21.000    
  139.6334529       1.0000       3.0466       3.0466       20.999    
  141.1334529       1.0000       4.3803       4.3803       21.002    
  142.6334529       1.0000       6.0100       6.0100       21.003    
  144.0000000       1.0000       5.8000       5.8000       21.000    
  144.0000000       1.0000       5.8000       5.8000       21.000    
