#      time         order        tair      
  72.00000000       1.0000       4.8000    
  72.16000000       1.0000       4.4000    
  72.32000000       1.0000       4.0000    
  72.38621698       1.0000       3.8345    
  72.38621698       1.0000       3.8345    
  72.64221698       1.0000       3.1945    
  72.89821698       1.0000       2.5545    
  73.41021698       1.0000       2.5051    
  74.43421698       1.0000       2.9737    
  75.93421698       1.0000       3.6671    
  77.43421698       1.0000       3.7303    
  78.93421698       1.0000       3.9000    
  80.43421698       1.0000       3.6658    
  81.93421698       1.0000       2.6329    
  83.43421698       1.0000       2.2868    
  84.93421698       1.0000       2.6803    
  86.43421698       1.0000      0.77894    
  87.93421698       1.0000      0.56711    
  89.43421698       1.0000       1.4000    
  90.93421698       1.0000       1.3066    
  92.43421698       1.0000       1.6737    
  93.93421698       1.0000       1.8066    
  95.43421698       1.0000       2.5040    
  96.00000000       1.0000       2.9000    
  96.00000000       1.0000       2.9000    
  96.30158031       1.0000       2.8698    
  96.39334524       1.0000       2.8607    
  96.39334525       1.0000       2.8607    
  96.63460949       1.0000       2.8365    
  96.87587374       1.0000       2.8124    
  97.35840222       1.0000       2.8000    
  98.32345920       1.0000       2.9294    
  99.82345920       1.0000       2.9530    
  101.3234592       1.0000       3.5677    
  102.8234592       1.0000       3.4177    
  104.3234592       1.0000       2.6205    
  105.8234592       1.0000       3.1706    
  107.3234592       1.0000       4.5469    
  108.8234592       1.0000       5.2412    
  110.3234592       1.0000       3.0677    
  111.8234592       1.0000       2.4236    
  113.3234592       1.0000       1.7412    
  114.8234592       1.0000       1.1177    
  116.3234592       1.0000       2.4528    
  117.8234592       1.0000       2.9883    
  119.3234592       1.0000       2.2030    
  120.0000000       1.0000       2.0000    
  120.0000000       1.0000       2.0000    
  120.3064111       1.0000       2.1838    
  120.4004368       1.0000       2.2403    
  120.4004368       1.0000       2.2403    
  120.6455657       1.0000       2.3873    
  120.8906945       1.0000       2.5344    
  121.3809522       1.0000       2.1429    
  122.3614677       1.0000       1.2916    
  123.8614677       1.0000      0.92771    
  125.3614677       1.0000      6.99080E-02
  126.7323077       1.0000     -5.20000E-02
  126.7323077       1.0000     -5.20000E-02
  128.3011324       1.0000     -0.63011    
  129.6233333       1.0000      4.80000E-02
  129.6233333       1.0000      4.80000E-02
  130.8783931       1.0000      0.76352    
  132.1334529       1.0000       3.3068    
  133.6334529       1.0000       3.6199    
  135.1334529       1.0000       3.0333    
  136.6334529       1.0000       2.9167    
  138.1334529       1.0000       3.3000    
  139.6334529       1.0000       3.0466    
  141.1334529       1.0000       4.3803    
  142.6334529       1.0000       6.0100    
  144.0000000       1.0000       5.8000    
  144.0000000       1.0000       5.8000    
