#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  72.00000000       1.0000       0.0000     -0.37642       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.24128E-08
  72.16000000       1.0000       0.0000     -0.36878       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.29507E-08
  72.32000000       1.0000       0.0000     -0.36023       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.36268E-08
  72.38621698       1.0000       0.0000     -0.35666       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.39456E-08
  72.38621698       1.0000       0.0000     -0.35666       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.39456E-08
  72.64221698       1.0000       0.0000     -0.34392       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.53849E-08
  72.89821698       1.0000       0.0000     -0.33489       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.71359E-08
  73.41021698       1.0000       0.0000     -0.32509       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.66355E-08
  74.43421698       1.0000       0.0000     -0.31345       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.36383E-08
  75.93421698       1.0000       0.0000     -0.28291       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.93562E-08
  77.43421698       1.0000       0.0000     -0.27121       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.75135E-08
  78.93421698       1.0000       0.0000     -0.28590       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.88804E-08
  80.43421698       1.0000       0.0000     -0.30641       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.29184E-08
  81.93421698       1.0000       0.0000     -0.30835       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.14765E-08
  83.43421698       1.0000       0.0000     -0.28688       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.27711E-08
  84.93421698       1.0000       0.0000     -0.23538       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.06391E-08
  86.43421698       1.0000       0.0000     -0.29266       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.02941E-08
  87.93421698       1.0000       0.0000     -0.37135       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.10017E-08
  89.43421698       1.0000       0.0000     -0.38848       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.57140E-08
  90.93421698       1.0000       0.0000     -0.38364       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.48143E-08
  92.43421698       1.0000       0.0000     -0.36582       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.07452E-08
  93.93421698       1.0000       0.0000     -0.33700       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.83260E-08
  95.43421698       1.0000       0.0000     -0.28787       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.16620E-08
  96.00000000       1.0000       0.0000     -0.26527       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.91294E-08
  96.00000000       1.0000       0.0000     -0.26527       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.91294E-08
  96.30158031       1.0000       0.0000     -0.25288       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.91999E-08
  96.39334524       1.0000       0.0000     -0.24913       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.92218E-08
  96.39334525       1.0000       0.0000     -0.24913       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.92218E-08
  96.63460949       1.0000       0.0000     -0.23967       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.92801E-08
  96.87587374       1.0000       0.0000     -0.23142       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.93399E-08
  97.35840222       1.0000       0.0000     -0.21938       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.95778E-08
  98.32345920       1.0000       0.0000     -0.20921       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.92790E-08
  99.82345920       1.0000       0.0000     -0.21545       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.86219E-08
  101.3234592       1.0000       0.0000     -0.19716       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.61372E-08
  102.8234592       1.0000       0.0000     -0.19831       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.75014E-08
  104.3234592       1.0000       0.0000     -0.23399       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.22697E-08
  105.8234592       1.0000       0.0000     -0.18327       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.62012E-08
  107.3234592       1.0000       0.0000      1.95999E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -2.56550E-08
  108.8234592       1.0000       0.0000      0.14823       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -1.76690E-08
  110.3234592       1.0000       0.0000      9.33865E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.74465E-08
  111.8234592       1.0000       0.0000     -9.07998E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.34959E-08
  113.3234592       1.0000       0.0000     -0.27109       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.74328E-08
  114.8234592       1.0000       0.0000     -0.38526       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.34705E-08
  116.3234592       1.0000       0.0000     -0.36581       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.35167E-08
  117.8234592       1.0000       0.0000     -0.28448       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.91347E-08
  119.3234592       1.0000       0.0000     -0.25935       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.73499E-08
  120.0000000       1.0000       0.0000     -0.26400       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.00675E-08
  120.0000000       1.0000       0.0000     -0.26400       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.00675E-08
  120.3064111       1.0000       0.0000     -0.26790       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.98381E-08
  120.4004368       1.0000       0.0000     -0.26935       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.97741E-08
  120.4004368       1.0000       0.0000     -0.26935       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.97741E-08
  120.6455657       1.0000       0.0000     -0.27325       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.96218E-08
  120.8906945       1.0000       0.0000     -0.27640       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -4.94905E-08
  121.3809522       1.0000       0.0000     -0.28478       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.28839E-08
  122.3614677       1.0000       0.0000     -0.32377       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.89856E-08
  123.8614677       1.0000       0.0000     -0.37858       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.98406E-08
  125.3614677       1.0000       0.0000     -0.43251       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.52095E-08
  126.7323077       1.0000       0.0000     -0.45659       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.62077E-08
  126.7323077       1.0000       0.0000     -0.45658       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.62077E-08
  128.3011324       1.0000       0.0000     -0.47355       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -7.11453E-08
  129.6233333       1.0000       0.0000     -0.40098       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.25182E-08
  129.6233333       1.0000       0.0000     -0.40098       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.25182E-08
  130.8783931       1.0000       0.0000     -0.27781       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -5.68303E-08
  132.1334529       1.0000       0.0000     -6.17661E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.92961E-08
  133.6334529       1.0000       0.0000      9.40563E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.56172E-08
  135.1334529       1.0000       0.0000      6.70202E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.89481E-08
  136.6334529       1.0000       0.0000     -2.35090E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.79073E-08
  138.1334529       1.0000       0.0000     -6.78313E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.36382E-08
  139.6334529       1.0000       0.0000     -0.13308       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -3.53393E-08
  141.1334529       1.0000       0.0000     -8.82812E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -2.20629E-08
  142.6334529       1.0000       0.0000      2.35837E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -6.38795E-09
  144.0000000       1.0000       0.0000      8.36554E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -1.03766E-08
  144.0000000       1.0000       0.0000      8.36559E-02   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -1.03766E-08
