#      time         order        tairmean     top       
  72.00000000       1.0000       15.985       15.973    
  72.16000000       1.0000       15.981       15.969    
  72.32000000       1.0000       15.977       15.965    
  72.38621698       1.0000       15.975       15.963    
  72.38621698       1.0000       15.975       15.963    
  72.64221698       1.0000       15.969       15.957    
  72.89821698       1.0000       15.963       15.951    
  73.41021698       1.0000       15.951       15.940    
  74.43421698       1.0000       15.929       15.918    
  75.93421698       1.0000       15.900       15.889    
  77.43421698       1.0000       15.872       15.861    
  78.93421698       1.0000       15.842       15.831    
  80.43421698       1.0000       15.810       15.799    
  81.93421698       1.0000       15.778       15.767    
  83.43421698       1.0000       15.748       15.737    
  84.93421698       1.0000       15.724       15.713    
  86.43421698       1.0000       15.694       15.683    
  87.93421698       1.0000       15.655       15.644    
  89.43421698       1.0000       15.615       15.603    
  90.93421698       1.0000       15.575       15.564    
  92.43421698       1.0000       15.537       15.526    
  93.93421698       1.0000       15.502       15.491    
  95.43421698       1.0000       15.472       15.461    
  96.00000000       1.0000       15.462       15.451    
  96.00000000       1.0000       15.462       15.451    
  96.30158031       1.0000       15.456       15.446    
  96.39334524       1.0000       15.455       15.444    
  96.39334525       1.0000       15.455       15.444    
  96.63460949       1.0000       15.451       15.440    
  96.87587374       1.0000       15.447       15.437    
  97.35840222       1.0000       15.439       15.429    
  98.32345920       1.0000       15.425       15.415    
  99.82345920       1.0000       15.403       15.393    
  101.3234592       1.0000       15.383       15.373    
  102.8234592       1.0000       15.362       15.352    
  104.3234592       1.0000       15.338       15.328    
  105.8234592       1.0000       15.319       15.309    
  107.3234592       1.0000       15.321       15.312    
  108.8234592       1.0000       15.336       15.329    
  110.3234592       1.0000       15.346       15.340    
  111.8234592       1.0000       15.336       15.329    
  113.3234592       1.0000       15.308       15.299    
  114.8234592       1.0000       15.268       15.258    
  116.3234592       1.0000       15.230       15.219    
  117.8234592       1.0000       15.201       15.190    
  119.3234592       1.0000       15.174       15.163    
  120.0000000       1.0000       15.161       15.151    
  120.0000000       1.0000       15.161       15.151    
  120.3064111       1.0000       15.156       15.145    
  120.4004368       1.0000       15.154       15.144    
  120.4004368       1.0000       15.154       15.144    
  120.6455657       1.0000       15.149       15.139    
  120.8906945       1.0000       15.145       15.134    
  121.3809522       1.0000       15.135       15.124    
  122.3614677       1.0000       15.113       15.102    
  123.8614677       1.0000       15.074       15.063    
  125.3614677       1.0000       15.029       15.018    
  126.7323077       1.0000       14.986       14.974    
  126.7323077       1.0000       14.986       14.974    
  128.3011324       1.0000       14.934       14.923    
  129.6233333       1.0000       14.898       14.887    
  129.6233333       1.0000       14.898       14.887    
  130.8783931       1.0000       14.871       14.860    
  132.1334529       1.0000       14.865       14.856    
  133.6334529       1.0000       14.875       14.868    
  135.1334529       1.0000       14.882       14.875    
  136.6334529       1.0000       14.879       14.872    
  138.1334529       1.0000       14.872       14.865    
  139.6334529       1.0000       14.859       14.851    
  141.1334529       1.0000       14.849       14.842    
  142.6334529       1.0000       14.852       14.845    
  144.0000000       1.0000       14.860       14.853    
  144.0000000       1.0000       14.860       14.853    
