#      time         order        t            tair         tout      
  0.000000000       1.0000       2.1000       2.1000       16.000    
 0.1600000000       1.0000       2.1000       2.1000       16.000    
 0.3200000000       1.0000       2.1000       2.1000       16.000    
 0.3641584608       1.0000       2.1000       2.1000       16.000    
 0.3641584636       1.0000       2.1000       2.1000       16.000    
 0.6201584636       1.0000       2.1000       2.1000       16.000    
 0.8761584636       1.0000       2.1000       2.1000       16.000    
  1.388158464       1.0000       2.2164       2.2164       16.000    
  2.412158464       1.0000       2.6473       2.6473       16.000    
  3.912158464       1.0000       2.7264       2.7264       16.000    
  5.412158464       1.0000       3.0122       3.0122       16.000    
  6.912158464       1.0000       3.7824       3.7824       16.000    
  8.412158464       1.0000       4.3061       4.3061       16.000    
  9.912158464       1.0000       5.0561       5.0561       16.000    
  11.41215846       1.0000       6.3824       6.3824       16.000    
  12.91215846       1.0000       7.0473       7.0473       16.000    
  14.41215846       1.0000       7.0588       7.0588       16.000    
  15.91215846       1.0000       6.5439       6.5439       16.000    
  17.41215846       1.0000       6.8236       6.8236       16.000    
  18.91215846       1.0000       7.8209       7.8209       16.000    
  20.41215846       1.0000       7.7054       7.7054       16.000    
  21.91215846       1.0000       7.0000       7.0000       16.000    
  23.41215846       1.0000       6.9649       6.9649       16.000    
  24.37197845       1.0000       7.1628       7.1628       16.000    
  24.37197845       1.0000       7.1628       7.1628       16.000    
  26.01037845       1.0000       7.0000       7.0000       16.000    
  27.51037845       1.0000       6.7958       6.7958       16.000    
  29.01037845       1.0000       6.1010       6.1010       16.000    
  30.51037845       1.0000       6.1490       6.1490       16.000    
  32.01037845       1.0000       6.3021       6.3021       16.000    
  33.51037845       1.0000       6.4490       6.4490       16.000    
  35.01037845       1.0000       7.2021       7.2021       16.000    
  36.51037845       1.0000       7.2979       7.2979       16.000    
  38.01037845       1.0000       7.5938       7.5938       16.000    
  38.31037845       1.0000       7.4138       7.4138       16.000    
  38.91037845       1.0000       7.0538       7.0538       16.000    
  39.79101384       1.0000       7.3955       7.3955       16.000    
  41.24845878       1.0000       6.3248       6.3248       16.000    
  42.46745271       1.0000       6.6805       6.6805       16.000    
  43.96745271       1.0000       6.6130       6.6130       16.000    
  45.46745271       1.0000       6.8740       6.8740       16.000    
  46.96745271       1.0000       7.3000       7.3000       16.000    
  48.37871380       1.0000       6.5000       6.5000       16.000    
  48.37871381       1.0000       6.5000       6.5000       16.000    
  50.77871381       1.0000       5.8328       5.8328       16.000    
  52.27871381       1.0000       7.5508       7.5508       16.000    
  53.77871381       1.0000       8.4336       8.4336       16.000    
  55.27871381       1.0000       8.1492       8.1492       16.000    
  56.77871381       1.0000       7.8894       7.8894       16.000    
  58.27871381       1.0000       7.5655       7.5655       16.000    
  59.77871381       1.0000       6.3106       6.3106       16.000    
  61.27871381       1.0000       5.4279       5.4279       16.000    
  62.77871381       1.0000       5.3443       5.3443       16.000    
  64.27871381       1.0000       6.2000       6.2000       16.000    
  65.77871381       1.0000       6.1221       6.1221       16.000    
  67.27871381       1.0000       5.6000       5.6000       16.000    
  68.77871381       1.0000       5.2885       5.2885       16.000    
  70.27871381       1.0000       4.4066       4.4066       16.000    
  71.77871381       1.0000       4.8885       4.8885       16.000    
  72.38682581       1.0000       3.8329       3.8329       16.000    
  72.38682581       1.0000       3.8329       3.8329       16.000    
  74.78682581       1.0000       3.1147       3.1147       16.000    
  76.28682581       1.0000       3.6713       3.6713       16.000    
  77.78682581       1.0000       3.8360       3.8360       16.000    
  79.28682581       1.0000       3.9574       3.9574       16.000    
  80.78682581       1.0000       3.3132       3.3132       16.000    
  82.28682581       1.0000       2.4853       2.4853       16.000    
  83.78682581       1.0000       2.3574       2.3574       16.000    
  85.28682581       1.0000       2.2984       2.2984       16.000    
  86.78682581       1.0000      0.35581      0.35581       16.000    
  88.28682581       1.0000      0.82946      0.82946       16.000    
  89.78682581       1.0000       1.4000       1.4000       16.000    
  91.28682581       1.0000       1.3574       1.3574       16.000    
  92.78682581       1.0000       1.8147       1.8147       16.000    
  94.28682581       1.0000       1.9147       1.9147       16.000    
  95.78682581       1.0000       2.7508       2.7508       16.000    
  96.39400632       1.0000       2.8606       2.8606       16.000    
  96.39400633       1.0000       2.8606       2.8606       16.000    
  98.79400633       1.0000       3.1176       3.1176       16.000    
  100.2940063       1.0000       3.1058       3.1058       16.000    
  101.7940063       1.0000       3.5206       3.5206       16.000    
  103.2940063       1.0000       3.0472       3.0472       16.000    
  104.7940063       1.0000       3.2322       3.2322       16.000    
  106.2940063       1.0000       3.3352       3.3352       16.000    
  107.7940063       1.0000       5.4880       5.4880       16.000    
  109.2940063       1.0000       4.5120       4.5120       16.000    
  110.7940063       1.0000       3.0206       3.0206       16.000    
  112.2940063       1.0000       2.2118       2.2118       16.000    
  113.7940063       1.0000       1.3648       1.3648       16.000    
  115.2940063       1.0000       1.3646       1.3646       16.000    
  116.7940063       1.0000       3.1116       3.1116       16.000    
  118.2940063       1.0000       2.7236       2.7236       16.000    
  119.7940063       1.0000       2.0618       2.0618       16.000    
  120.4010897       1.0000       2.2407       2.2407       16.000    
  120.4010897       1.0000       2.2407       2.2407       16.000    
  122.8010897       1.0000       1.1597       1.1597       16.000    
  124.3010897       1.0000      0.50858      0.50858       16.000    
  125.8010897       1.0000      0.64142      0.64142       16.000    
  126.7571571       1.0000     -8.43042E-02 -8.43042E-02   16.000    
  126.7571571       1.0000     -8.43042E-02 -8.43042E-02   16.000    
  129.1571571       1.0000     -0.51141     -0.51141       16.000    
  129.6233333       1.0000      4.80000E-02  4.80000E-02   16.000    
  129.6233333       1.0000      4.80000E-02  4.80000E-02   16.000    
  131.5433333       1.0000       2.1040       2.1040       16.000    
  133.0433333       1.0000       3.9740       3.9740       16.000    
  134.5433333       1.0000       3.2370       3.2370       16.000    
  136.0433333       1.0000       2.6217       2.6217       16.000    
  137.5433333       1.0000       3.2087       3.2087       16.000    
  139.0433333       1.0000       3.2827       3.2827       16.000    
  140.5433333       1.0000       3.5520       3.5520       16.000    
  142.0433333       1.0000       6.1870       6.1870       16.000    
  143.5433333       1.0000       5.8457       5.8457       16.000    
  144.4080312       1.0000       6.0448       6.0448       16.000    
  144.4080312       1.0000       6.0448       6.0448       16.000    
  146.8080312       1.0000       5.7344       5.7344       16.000    
  148.3080312       1.0000       5.0540       5.0540       16.000    
  149.8080312       1.0000       5.2384       5.2384       16.000    
  151.3080312       1.0000       5.6536       5.6536       16.000    
  152.8080312       1.0000       5.5848       5.5848       16.000    
  154.3080312       1.0000       6.0232       6.0232       16.000    
  155.8080312       1.0000       6.2192       6.2192       16.000    
  157.3080312       1.0000       6.5616       6.5616       16.000    
  158.8080312       1.0000       6.0536       6.0536       16.000    
  160.3080312       1.0000       5.2768       5.2768       16.000    
  161.5820078       1.0000       4.8836       4.8836       16.000    
  163.0820078       1.0000       4.6918       4.6918       16.000    
  164.5820078       1.0000       4.1344       4.1344       16.000    
  166.0820078       1.0000       3.2246       3.2246       16.000    
  167.5820078       1.0000       3.7328       3.7328       16.000    
  168.4154352       1.0000       3.8585       3.8585       16.000    
  168.4154352       1.0000       3.8585       3.8585       16.000    
  170.8154352       1.0000       3.7815       3.7815       16.000    
  172.3154352       1.0000       2.8899       2.8899       16.000    
  173.8154352       1.0000       1.7554       1.7554       16.000    
  175.3154352       1.0000       3.3000       3.3000       16.000    
  176.8154352       1.0000       3.1369       3.1369       16.000    
  178.3154352       1.0000       3.0685       3.0685       16.000    
  179.8154352       1.0000       3.5708       3.5708       16.000    
  181.3154352       1.0000       4.3631       4.3631       16.000    
  182.8154352       1.0000       4.5000       4.5000       16.000    
  184.3154352       1.0000       3.7423       3.7423       16.000    
  185.8154352       1.0000       4.1339       4.1339       16.000    
  187.3154352       1.0000       3.7315       3.7315       16.000    
  188.8154352       1.0000       3.6369       3.6369       16.000    
  190.3154352       1.0000       3.9946       3.9946       16.000    
  191.8154352       1.0000       4.3631       4.3631       16.000    
  192.4216756       1.0000       4.5687       4.5687       16.000    
  192.4216756       1.0000       4.5687       4.5687       16.000    
  194.8216756       1.0000       11.175       11.175       16.000    
  196.3216756       1.0000       11.764       11.764       16.000    
  197.8216756       1.0000       11.818       11.818       16.000    
  199.3216756       1.0000       12.264       12.264       16.000    
  200.8216756       1.0000       12.647       12.647       16.000    
  202.3216756       1.0000       12.900       12.900       16.000    
  203.8216756       1.0000       12.982       12.982       16.000    
  205.3216756       1.0000       12.832       12.832       16.000    
  206.8216756       1.0000       12.900       12.900       16.000    
  208.3216756       1.0000       12.900       12.900       16.000    
  209.8216756       1.0000       12.653       12.653       16.000    
  211.3216756       1.0000       12.707       12.707       16.000    
  212.8216756       1.0000       12.136       12.136       16.000    
  214.3216756       1.0000       12.432       12.432       16.000    
  215.8216756       1.0000       12.500       12.500       16.000    
  216.4282981       1.0000       12.072       12.072       16.000    
  216.4282981       1.0000       12.072       12.072       16.000    
  218.8282981       1.0000       12.266       12.266       16.000    
  220.3282981       1.0000       12.134       12.134       16.000    
  221.8282981       1.0000       12.414       12.414       16.000    
  223.3282981       1.0000       12.069       12.069       16.000    
  224.8282981       1.0000       11.883       11.883       16.000    
  226.3282981       1.0000       11.800       11.800       16.000    
  227.8282981       1.0000       11.966       11.966       16.000    
  229.3282981       1.0000       11.831       11.831       16.000    
  230.8282981       1.0000       12.100       12.100       16.000    
  232.3282981       1.0000       11.802       11.802       16.000    
  233.8282981       1.0000       11.517       11.517       16.000    
  235.3282981       1.0000       11.528       11.528       16.000    
  236.8282981       1.0000       12.117       12.117       16.000    
  238.3282981       1.0000       12.100       12.100       16.000    
  239.8282981       1.0000       11.934       11.934       16.000    
  240.4347882       1.0000       11.378       11.378       16.000    
  240.4347882       1.0000       11.378       11.378       16.000    
  242.8347882       1.0000       10.950       10.950       16.000    
  244.3347882       1.0000       11.067       11.067       16.000    
  245.8347882       1.0000       11.283       11.283       16.000    
  247.3347882       1.0000       10.699       10.699       16.000    
  248.8347882       1.0000       9.9661       9.9661       16.000    
  250.3347882       1.0000       10.167       10.167       16.000    
  251.8347882       1.0000       11.084       11.084       16.000    
  253.3347882       1.0000       11.800       11.800       16.000    
  254.8347882       1.0000       11.016       11.016       16.000    
  256.3347882       1.0000       11.500       11.500       16.000    
  257.8347882       1.0000       11.050       11.050       16.000    
  259.3347882       1.0000       10.499       10.499       16.000    
  260.8347882       1.0000       9.6826       9.6826       16.000    
  262.3347882       1.0000       8.8330       8.8330       16.000    
  263.8347882       1.0000       8.3661       8.3661       16.000    
  264.4411417       1.0000       8.3882       8.3882       16.000    
  264.4411417       1.0000       8.3882       8.3882       16.000    
  266.8411417       1.0000       7.7953       7.7953       16.000    
