#      time         order        fenster_g1   fenster_g2   fenster_g3   fenster_g4   fenster_g5   fenster_ge   zone_1_flo   zone_1_wa1   zone_1_wa2   zone_1_wa3   zone_1_wa4   zone_1_wa5   zone_1_wa6   zone_1_wal   zone_zone_
  0.000000000       1.0000       0.0000       0.0000      -92.107      -303.98      -92.149       0.0000      -62.528       33.927       39.414       59.958       0.0000       0.0000       0.0000       40.192       0.0000    
 0.1600000000       1.0000       0.0000       0.0000      -92.110      -303.98      -92.152       0.0000      -51.912       35.168       40.857       62.130       0.0000       0.0000       0.0000       41.620       0.0000    
 0.3200000000       1.0000       0.0000       0.0000      -92.160      -304.15      -92.202       0.0000      -46.633       36.401       42.291       64.292       0.0000       0.0000       0.0000       43.044       0.0000    
 0.3641584608       1.0000       0.0000       0.0000      -92.170      -304.18      -92.212       0.0000      -45.743       36.647       42.578       64.724       0.0000       0.0000       0.0000       43.328       0.0000    
 0.3641584636       1.0000       0.0000       0.0000      -92.170      -304.18      -92.212       0.0000      -45.743       36.647       42.578       64.724       0.0000       0.0000       0.0000       43.328       0.0000    
 0.6201584636       1.0000       0.0000       0.0000      -92.167      -304.17      -92.209       0.0000      -45.852       36.782       42.746       64.974       0.0000       0.0000       0.0000       43.477       0.0000    
 0.8761584636       1.0000       0.0000       0.0000      -92.154      -304.13      -92.196       0.0000      -45.550       36.824       42.805       65.059       0.0000       0.0000       0.0000       43.518       0.0000    
  1.388158464       1.0000       0.0000       0.0000      -91.378      -301.58      -91.422       0.0000      -43.709       37.156       43.204       65.650       0.0000       0.0000       0.0000       43.882       0.0000    
  2.412158464       1.0000       0.0000       0.0000      -89.367      -294.91      -89.402       0.0000      -40.171       37.902       44.083       66.948       0.0000       0.0000       0.0000       44.702       0.0000    
  3.912158464       1.0000       0.0000       0.0000      -88.786      -293.06      -88.840       0.0000      -36.633       39.001       45.355       68.833       0.0000       0.0000       0.0000       45.912       0.0000    
  5.412158464       1.0000       0.0000       0.0000      -87.757      -289.59      -87.788       0.0000      -33.261       40.275       46.819       71.024       0.0000       0.0000       0.0000       47.337       0.0000    
  6.912158464       1.0000       0.0000       0.0000      -82.728      -273.76      -82.990       0.0000      -28.633       41.810       48.581       73.691       0.0000       0.0000       0.0000       49.084       0.0000    
  8.412158464       1.0000       0.0000       0.0000      -79.002      -261.67      -79.325       0.0000      -24.908       43.174       50.145       76.078       0.0000       0.0000       0.0000       50.649       0.0000    
  9.912158464       1.0000       158.89       14.310      -73.964      -242.81      -73.933       33.242       24.753       49.823       57.834       102.69       0.0000       0.0000       0.0000       61.230       0.0000    
  11.41215846       1.0000       199.25       26.654      -67.370      -222.41      -67.963       30.808       41.145       52.319       60.746       95.754       0.0000       0.0000       0.0000       60.694       0.0000    
  12.91215846       1.0000       234.21       31.923      -64.012      -211.15      -64.791       29.254       46.863       53.568       64.197       97.305       0.0000       0.0000       0.0000       62.504       0.0000    
  14.41215846       1.0000       157.62       30.463      -64.041      -212.72      -65.002       14.875       13.320       50.476       67.349       90.207       0.0000       0.0000       0.0000       59.134       0.0000    
  15.91215846       1.0000       18.029       5.4900      -67.366      -224.97      -68.227       1.8728      -27.814       45.696       52.246       78.691       0.0000       0.0000       0.0000       53.731       0.0000    
  17.41215846       1.0000       0.0000       0.0000      -66.136      -220.50      -66.843       0.0000      -28.052       45.804       52.081       79.338       0.0000       0.0000       0.0000       53.930       0.0000    
  18.91215846       1.0000      2.20364E-51   0.0000      -61.354      -204.22      -61.907      8.42814E-53  -21.968       46.504       53.425       81.175       0.0000       0.0000       0.0000       54.781       0.0000    
  20.41215846       1.0000       0.0000       0.0000      -62.317      -205.57      -61.850       0.0000      -19.207       46.567       53.765       81.642       0.0000       0.0000       0.0000       54.868       0.0000    
  21.91215846       1.0000     -1.37727E-52 -1.30195E-51  -65.571      -216.30      -65.049      3.44318E-53  -17.973       46.419       53.748       81.601       0.0000       0.0000       0.0000       54.687       0.0000    
  23.41215846       1.0000      8.44053E-66  8.56285E-67  -67.071      -221.25      -66.861      8.56285E-67  -15.989       46.441       53.872       81.771       0.0000       0.0000       0.0000       54.682       0.0000    
  24.37197845       1.0000       0.0000       0.0000      -67.750      -223.49      -67.883       0.0000      -14.714       46.478       53.963       81.896       0.0000       0.0000       0.0000       54.700       0.0000    
  24.37197845       1.0000       0.0000       0.0000      -67.750      -223.49      -67.883       0.0000      -14.714       46.478       53.963       81.896       0.0000       0.0000       0.0000       54.700       0.0000    
  26.01037845       1.0000       0.0000       0.0000      -66.851      -220.52      -66.613       0.0000      -11.622       46.746       54.339       82.434       0.0000       0.0000       0.0000       54.957       0.0000    
  27.51037845       1.0000       0.0000       0.0000      -70.059      -231.11      -70.303       0.0000      -11.341       46.679       54.312       82.362       0.0000       0.0000       0.0000       54.825       0.0000    
  29.01037845       1.0000       0.0000       0.0000      -72.738      -239.94      -72.791       0.0000      -10.654       46.789       54.482       82.584       0.0000       0.0000       0.0000       54.895       0.0000    
  30.51037845       1.0000       0.0000       0.0000      -72.048      -237.67      -72.046       0.0000      -8.5613       47.189       54.978       83.298       0.0000       0.0000       0.0000       55.302       0.0000    
  32.01037845       1.0000       0.0000       0.0000      -72.126      -237.93      -72.251       0.0000      -7.1542       47.535       55.406       83.910       0.0000       0.0000       0.0000       55.647       0.0000    
  33.51037845       1.0000       792.35       11.981      -71.502      -220.67      -66.686       180.85       196.61       71.772       83.483       226.34       0.0000       0.0000       0.0000       115.32       0.0000    
  35.01037845       1.0000       997.42       34.535      -68.039      -208.76      -65.981       94.938       277.16       74.802       87.162       180.41       0.0000       0.0000       0.0000       81.078       0.0000    
  36.51037845       1.0000       1232.9       49.637      -66.626      -205.10      -66.240       45.599       324.96       79.253       97.163       170.54       0.0000       0.0000       0.0000       89.895       0.0000    
  38.01037845       1.0000       1501.4       161.85      -64.841      -200.02      -67.313       7.8005       359.90       94.650       203.58       199.47       0.0000       0.0000       0.0000       109.90       0.0000    
  38.31037845       1.0000       1330.6       180.46      -65.465      -206.40      -68.146      -1.1680       280.79       88.821       200.55       176.47       0.0000       0.0000       0.0000       103.54       0.0000    
  38.91037845       1.0000       871.09       170.19      -67.125      -216.98      -69.508      -16.764       97.576       68.982       141.61       120.40       0.0000       0.0000       0.0000       81.271       0.0000    
  39.79101384       1.0000       102.75       30.646      -66.004      -217.70      -66.315     -4.65859E-02  -121.04       38.421       24.603       46.391       0.0000       0.0000       0.0000       46.885       0.0000    
  41.24845878       1.0000       0.0000       0.0000      -70.511      -232.60      -70.189       0.0000      -124.52       38.831       28.935       54.580       0.0000       0.0000       0.0000       48.132       0.0000    
  42.46745271       1.0000       0.0000       0.0000      -68.809      -226.98      -68.572       0.0000      -110.04       40.115       37.560       62.683       0.0000       0.0000       0.0000       50.137       0.0000    
  43.96745271       1.0000       0.0000       0.0000      -68.731      -226.72      -68.616       0.0000      -95.899       40.521       42.057       67.353       0.0000       0.0000       0.0000       50.926       0.0000    
  45.46745271       1.0000      1.41066E-48   0.0000      -69.891      -230.55      -70.017     -1.09476E-47  -83.937       40.706       44.588       70.076       0.0000       0.0000       0.0000       51.244       0.0000    
  46.96745271       1.0000       0.0000       0.0000      -65.818      -217.12      -65.617       0.0000      -70.893       41.276       46.661       72.545       0.0000       0.0000       0.0000       51.867       0.0000    
  48.37871380       1.0000      4.21688E-81   0.0000      -67.781      -224.64      -68.100      3.32432E-83  -63.190       41.309       47.541       73.463       0.0000       0.0000       0.0000       51.798       0.0000    
  48.37871381       1.0000      4.78172E-98  7.25317E-99  -67.781      -224.64      -68.100     -7.44611E-99  -63.190       41.309       47.541       73.463       0.0000       0.0000       0.0000       51.798       0.0000    
  50.77871381       1.0000       0.0000       0.0000      -70.609      -233.73      -70.853       0.0000      -51.532       41.615       48.675       74.740       0.0000       0.0000       0.0000       51.879       0.0000    
  52.27871381       1.0000       0.0000       0.0000      -62.924      -209.05      -63.372       0.0000      -41.052       42.519       49.939       76.492       0.0000       0.0000       0.0000       52.735       0.0000    
  53.77871381       1.0000       0.0000       0.0000      -61.630      -203.31      -61.880       0.0000      -34.822       42.821       50.416       77.104       0.0000       0.0000       0.0000       52.892       0.0000    
  55.27871381       1.0000       0.0000       0.0000      -63.535      -209.58      -64.062       0.0000      -30.965       42.855       50.542       77.210       0.0000       0.0000       0.0000       52.739       0.0000    
  56.77871381       1.0000       13.093       3.0240      -63.372      -209.03      -63.214       3.8716      -22.183       43.657       51.533       79.110       0.0000       0.0000       0.0000       53.637       0.0000    
  58.27871381       1.0000       165.21       18.913      -64.674      -212.71      -63.764       32.606       26.430       48.991       57.747       98.763       0.0000       0.0000       0.0000       60.171       0.0000    
  59.77871381       1.0000       79.994       17.919      -69.778      -230.04      -68.696       18.031      -1.8091       45.583       53.831       81.145       0.0000       0.0000       0.0000       55.206       0.0000    
  61.27871381       1.0000       93.632       20.108      -73.183      -241.13      -71.992       19.315       1.9100       46.040       55.305       82.844       0.0000       0.0000       0.0000       55.668       0.0000    
  62.77871381       1.0000       90.735       20.731      -73.668      -242.77      -72.674       10.840      -2.8995       45.666       59.375       82.892       0.0000       0.0000       0.0000       55.130       0.0000    
