#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  0.000000000       1.0000       0.0000      -14.831       0.0000       0.0000       442.67      -488.23       0.0000       0.0000       0.0000     -1.53842E-07
 0.1600000000       1.0000       0.0000      -36.387       0.0000       0.0000       524.55      -488.25       0.0000       0.0000       0.0000     -1.53588E-07
 0.3200000000       1.0000       0.0000      -56.856       0.0000       0.0000       553.23      -488.51       0.0000       0.0000       0.0000     -1.53756E-07
 0.3641584608       1.0000       0.0000      -60.798       0.0000       0.0000       557.13      -488.57       0.0000       0.0000       0.0000     -1.53802E-07
 0.3641584636       1.0000       0.0000      -60.798       0.0000       0.0000       557.13      -488.57       0.0000       0.0000       0.0000     -1.53802E-07
 0.6201584636       1.0000       0.0000      -61.574       0.0000       0.0000       550.42      -488.55       0.0000       0.0000       0.0000     -1.53862E-07
 0.8761584636       1.0000       0.0000      -61.910       0.0000       0.0000       549.96      -488.48       0.0000       0.0000       0.0000     -1.53847E-07
  1.388158464       1.0000       0.0000      -67.538       0.0000       0.0000       551.87      -484.38       0.0000       0.0000       0.0000     -1.53120E-07
  2.412158464       1.0000       0.0000      -79.380       0.0000       0.0000       553.07      -473.68       0.0000       0.0000       0.0000     -1.49568E-07
  3.912158464       1.0000       0.0000      -93.541       0.0000       0.0000       564.21      -470.69       0.0000       0.0000       0.0000     -1.52212E-07
  5.412158464       1.0000       0.0000      -108.39       0.0000       0.0000       573.53      -465.13       0.0000       0.0000       0.0000     -1.47286E-07
  6.912158464       1.0000       0.0000      -127.30       0.0000       0.0000       566.81      -439.48       0.0000       0.0000       0.0000     -1.36057E-07
  8.412158464       1.0000       0.0000      -143.50       0.0000       0.0000       563.49      -420.00       0.0000       0.0000       0.0000     -1.24156E-07
  9.912158464       1.0000       0.0000      -290.96       163.77       0.0000       475.36      -348.04       0.0000       0.0000       0.0000     -1.12353E-07
  11.41215846       1.0000       0.0000      -323.50       202.77       0.0000       424.46      -303.80       0.0000       0.0000       0.0000     -8.23555E-08
  12.91215846       1.0000       0.0000      -346.92       233.07       0.0000       391.45      -277.63       0.0000       0.0000       0.0000     -6.01568E-08
  14.41215846       1.0000       0.0000      -280.20       158.82       0.0000       418.90      -297.62       0.0000       0.0000       0.0000     -5.88948E-08
  15.91215846       1.0000       0.0000      -165.50       19.759       0.0000       500.58      -354.93       0.0000       0.0000       0.0000     -7.54436E-08
  17.41215846       1.0000       0.0000      -165.00       0.0000       0.0000       518.58      -353.48       0.0000       0.0000       0.0000     -6.69412E-08
  18.91215846       1.0000       0.0000      -180.98      2.75705E-51   0.0000       508.50      -327.48       0.0000       0.0000       0.0000     -3.87791E-08
  20.41215846       1.0000       0.0000      -186.57       0.0000       0.0000       516.28      -329.74       0.0000       0.0000       0.0000     -4.29480E-08
  21.91215846       1.0000       0.0000      -188.02     -1.41991E-51   0.0000       534.92      -346.92       0.0000       0.0000       0.0000     -5.60261E-08
  23.41215846       1.0000       0.0000      -191.95      1.23146E-65   0.0000       547.14      -355.18       0.0000       0.0000       0.0000     -6.29532E-08
