#      time         order        tairmean     top       
  0.000000000       1.0000       21.000       20.771    
 0.1600000000       1.0000       20.976       20.769    
 0.3200000000       1.0000       20.992       20.780    
 0.3641584608       1.0000       20.996       20.783    
 0.3641584636       1.0000       20.996       20.783    
 0.6201584636       1.0000       21.001       20.783    
 0.8761584636       1.0000       21.000       20.780    
  1.388158464       1.0000       21.000       20.777    
  2.412158464       1.0000       21.000       20.773    
  3.912158464       1.0000       21.000       20.765    
  5.412158464       1.0000       21.000       20.759    
  6.912158464       1.0000       21.000       20.755    
  8.412158464       1.0000       21.000       20.751    
  9.912158464       1.0000       21.003       20.766    
  11.41215846       1.0000       21.002       20.774    
  12.91215846       1.0000       21.001       20.782    
  14.41215846       1.0000       20.999       20.779    
  15.91215846       1.0000       20.997       20.763    
  17.41215846       1.0000       20.999       20.759    
  18.91215846       1.0000       21.000       20.758    
  20.41215846       1.0000       21.000       20.754    
  21.91215846       1.0000       20.999       20.748    
  23.41215846       1.0000       21.000       20.744    
  24.37197845       1.0000       21.000       20.741    
  24.37197845       1.0000       21.000       20.741    
  26.01037845       1.0000       21.000       20.739    
  27.51037845       1.0000       20.999       20.734    
  29.01037845       1.0000       21.000       20.729    
  30.51037845       1.0000       21.000       20.728    
  32.01037845       1.0000       21.000       20.725    
  33.51037845       1.0000       21.012       20.810    
  35.01037845       1.0000       21.004       20.849    
  36.51037845       1.0000       21.003       20.904    
  38.01037845       1.0000       21.267       21.156    
  38.31037845       1.0000       21.275       21.158    
  38.91037845       1.0000       21.160       21.056    
  39.79101384       1.0000       20.985       20.889    
  41.24845878       1.0000       20.995       20.868    
  42.46745271       1.0000       20.999       20.856    
  43.96745271       1.0000       20.999       20.840    
  45.46745271       1.0000       20.999       20.826    
  46.96745271       1.0000       21.000       20.817    
  48.37871380       1.0000       20.999       20.806    
  48.37871381       1.0000       20.999       20.806    
  50.77871381       1.0000       20.999       20.789    
  52.27871381       1.0000       21.001       20.788    
  53.77871381       1.0000       21.000       20.782    
  55.27871381       1.0000       20.999       20.774    
  56.77871381       1.0000       21.000       20.771    
  58.27871381       1.0000       21.002       20.781    
  59.77871381       1.0000       20.999       20.770    
  61.27871381       1.0000       21.000       20.767    
  62.77871381       1.0000       21.000       20.765    
  64.27871381       1.0000       20.999       20.757    
  65.77871381       1.0000       20.999       20.752    
  67.27871381       1.0000       20.999       20.745    
  68.77871381       1.0000       21.000       20.740    
  70.27871381       1.0000       20.999       20.732    
  71.77871381       1.0000       21.000       20.729    
  72.38682581       1.0000       20.999       20.724    
  72.38682581       1.0000       20.999       20.724    
  74.78682581       1.0000       21.000       20.718    
  76.28682581       1.0000       21.000       20.716    
  77.78682581       1.0000       21.000       20.712    
  79.28682581       1.0000       21.000       20.709    
  80.78682581       1.0000       21.000       20.705    
  82.28682581       1.0000       21.001       20.709    
  83.78682581       1.0000       21.001       20.713    
  85.28682581       1.0000       21.000       20.713    
  86.78682581       1.0000       20.998       20.702    
  88.28682581       1.0000       20.999       20.697    
  89.78682581       1.0000       21.000       20.695    
  91.28682581       1.0000       21.000       20.691    
  92.78682581       1.0000       21.000       20.689    
  94.28682581       1.0000       21.000       20.687    
  95.78682581       1.0000       21.000       20.687    
  96.39400632       1.0000       21.000       20.686    
  96.39400633       1.0000       21.000       20.686    
  98.79400633       1.0000       21.000       20.683    
  100.2940063       1.0000       21.000       20.681    
  101.7940063       1.0000       21.000       20.680    
  103.2940063       1.0000       21.000       20.677    
  104.7940063       1.0000       21.000       20.677    
  106.2940063       1.0000       21.006       20.713    
  107.7940063       1.0000       21.011       20.803    
  109.2940063       1.0000       21.000       20.814    
  110.7940063       1.0000       20.997       20.802    
  112.2940063       1.0000       20.991       20.752    
  113.7940063       1.0000       20.998       20.741    
  115.2940063       1.0000       20.999       20.732    
  116.7940063       1.0000       21.001       20.728    
  118.2940063       1.0000       21.000       20.720    
  119.7940063       1.0000       20.999       20.711    
  120.4010897       1.0000       21.000       20.709    
  120.4010897       1.0000       21.000       20.709    
  122.8010897       1.0000       20.999       20.696    
  124.3010897       1.0000       20.999       20.690    
  125.8010897       1.0000       21.000       20.686    
  126.7571571       1.0000       20.999       20.681    
  126.7571571       1.0000       20.999       20.681    
  129.1571571       1.0000       21.001       20.678    
  129.6233333       1.0000       21.002       20.681    
  129.6233333       1.0000       21.002       20.681    
  131.5433333       1.0000       21.007       20.714    
  133.0433333       1.0000       21.002       20.728    
  134.5433333       1.0000       20.998       20.720    
  136.0433333       1.0000       20.996       20.701    
  137.5433333       1.0000       21.000       20.699    
  139.0433333       1.0000       20.999       20.692    
  140.5433333       1.0000       21.000       20.690    
  142.0433333       1.0000       21.002       20.697    
  143.5433333       1.0000       21.000       20.693    
  144.4080312       1.0000       21.000       20.692    
  144.4080312       1.0000       21.000       20.692    
  146.8080312       1.0000       20.999       20.688    
  148.3080312       1.0000       20.999       20.684    
  149.8080312       1.0000       21.000       20.685    
  151.3080312       1.0000       21.000       20.686    
  152.8080312       1.0000       21.000       20.687    
  154.3080312       1.0000       21.004       20.713    
  155.8080312       1.0000       21.002       20.726    
  157.3080312       1.0000       21.002       20.748    
  158.8080312       1.0000       21.009       20.826    
  160.3080312       1.0000       20.988       20.743    
  161.5820078       1.0000       20.998       20.738    
  163.0820078       1.0000       20.999       20.730    
  164.5820078       1.0000       20.999       20.722    
  166.0820078       1.0000       20.999       20.714    
  167.5820078       1.0000       21.000       20.711    
  168.4154352       1.0000       21.000       20.710    
  168.4154352       1.0000       21.000       20.710    
  170.8154352       1.0000       21.000       20.702    
  172.3154352       1.0000       20.999       20.696    
  173.8154352       1.0000       20.999       20.691    
  175.3154352       1.0000       21.001       20.692    
  176.8154352       1.0000       21.000       20.690    
  178.3154352       1.0000       21.001       20.694    
  179.8154352       1.0000       21.004       20.716    
  181.3154352       1.0000       21.001       20.723    
  182.8154352       1.0000       20.999       20.718    
  184.3154352       1.0000       20.997       20.704    
  185.8154352       1.0000       21.000       20.702    
  187.3154352       1.0000       21.000       20.698    
