#      time         order        fenster_g1   fenster_g2   fenster_ge   zone_1_cei   zone_1_flo   zone_1_wa1   zone_1_wa2   zone_1_wa3   zone_1_wa4   zone_1_wa5   zone_1_wa6   zone_1_wa7   zone_1_wa8   zone_1_wa9   zone_1_wal   zone_zon10   zone_zone1   zone_zone2   zone_zone3   zone_zone4   zone_zone5   zone_zone6   zone_zone7   zone_zone8   zone_zone9   zone_zone_
  0.000000000       1.0000      -303.98      -92.149      -92.107      -96.138      -62.528       0.0000       0.0000       40.192       33.927       39.414       59.958     -2.62944E-36 -2.62944E-36 -1.27528E-36   0.0000       0.0000     -5.92489E-03 -2.03616E-07   0.0000       0.0000       0.0000       0.0000       0.0000       442.67       0.0000       0.0000    
 0.1600000000       1.0000      -303.98      -92.152      -92.110      -89.330      -51.912       0.0000       0.0000       41.620       35.168       40.857       62.130       0.0000       0.0000     -1.77130E-30   0.0000       0.0000       2.1462     -2.03363E-07   0.0000       0.0000       0.0000       0.0000       0.0000       524.55       0.0000       0.0000    
 0.3200000000       1.0000      -304.15      -92.202      -92.160      -83.115      -46.633       0.0000       0.0000       43.044       36.401       42.291       64.292     -1.86280E-33 -1.86280E-33   0.0000       0.0000       0.0000     -0.57520     -2.03531E-07   0.0000       0.0000       0.0000       0.0000       0.0000       553.23       0.0000       0.0000    
 0.3641584608       1.0000      -304.18      -92.212      -92.170      -81.883      -45.743       0.0000       0.0000       43.328       36.647       42.578       64.724       0.0000       0.0000     -5.70937E-34   0.0000       0.0000      -1.1470     -2.03576E-07   0.0000       0.0000       0.0000       0.0000       0.0000       557.13       0.0000       0.0000    
 0.3641584636       1.0000      -304.18      -92.212      -92.170      -81.883      -45.743       0.0000       0.0000       43.328       36.647       42.578       64.724     -5.18941E-34 -5.18941E-34   0.0000       0.0000       0.0000      -1.1470     -2.03576E-07   0.0000       0.0000       0.0000       0.0000       0.0000       557.13       0.0000       0.0000    
 0.6201584636       1.0000      -304.17      -92.209      -92.167      -81.261      -45.852       0.0000       0.0000       43.477       36.782       42.746       64.974     -1.89874E-29 -1.89874E-29   0.0000       0.0000       0.0000     -0.70864     -2.03637E-07   0.0000       0.0000       0.0000       0.0000       0.0000       550.42       0.0000       0.0000    
 0.8761584636       1.0000      -304.13      -92.196      -92.154      -80.899      -45.550       0.0000       0.0000       43.518       36.824       42.805       65.059       0.0000       0.0000     -4.95837E-32   0.0000       0.0000     -0.15352     -2.03622E-07   0.0000       0.0000       0.0000       0.0000       0.0000       549.96       0.0000       0.0000    
  1.388158464       1.0000      -301.58      -91.422      -91.378      -78.668      -43.709       0.0000       0.0000       43.882       37.156       43.204       65.650       0.0000       0.0000     -2.96437E-35   0.0000       0.0000     -2.21497E-02 -2.02361E-07   0.0000       0.0000       0.0000       0.0000       0.0000       551.87       0.0000       0.0000    
  2.412158464       1.0000      -294.91      -89.402      -89.367      -74.090      -40.171       0.0000       0.0000       44.702       37.902       44.083       66.948     -2.85241E-35 -2.85244E-35   0.0000       0.0000       0.0000     -6.13105E-03 -1.97705E-07   0.0000       0.0000       0.0000       0.0000       0.0000       553.07       0.0000       0.0000    
  3.912158464       1.0000      -293.06      -88.840      -88.786      -68.922      -36.633       0.0000       0.0000       45.912       39.001       45.355       68.833       0.0000       0.0000     -7.08753E-32   0.0000       0.0000      5.14073E-03 -1.96854E-07   0.0000       0.0000       0.0000       0.0000       0.0000       564.21       0.0000       0.0000    
  5.412158464       1.0000      -289.59      -87.788      -87.757      -63.802      -33.261       0.0000       0.0000       47.337       40.275       46.819       71.024     -4.05473E-34 -4.05474E-34   0.0000       0.0000       0.0000     -6.37489E-04 -1.93761E-07   0.0000       0.0000       0.0000       0.0000       0.0000       573.53       0.0000       0.0000    
