#      time         order        fenster_g1   fenster_g2   fenster_g3   fenster_g4   fenster_g5   fenster_ge   zone_1_flo   zone_1_wa1   zone_1_wa2   zone_1_wa3   zone_1_wa4   zone_1_wa5   zone_1_wa6   zone_1_wal   zone_zone_
  0.000000000       1.0000       0.0000       0.0000      -58.199      -191.56      -58.071       0.0000      -91.776      -3.7530      -4.4278      -6.5298       0.0000       0.0000       0.0000      -3.9112       0.0000    
 0.1600000000       1.0000       0.0000       0.0000      -58.140      -191.37      -58.012       0.0000      -97.706      -4.5010      -5.2873      -7.8224       0.0000       0.0000       0.0000      -4.7678       0.0000    
 0.3200000000       1.0000       0.0000       0.0000      -58.102      -191.24      -57.974       0.0000      -100.65      -4.8396      -5.6728      -8.4016       0.0000       0.0000       0.0000      -5.1562       0.0000    
 0.3641584608       1.0000       0.0000       0.0000      -58.093      -191.21      -57.965       0.0000      -101.35      -4.9175      -5.7612      -8.5344       0.0000       0.0000       0.0000      -5.2456       0.0000    
 0.3641584636       1.0000       0.0000       0.0000      -58.093      -191.21      -57.965       0.0000      -101.35      -4.9175      -5.7612      -8.5344       0.0000       0.0000       0.0000      -5.2456       0.0000    
 0.6201584636       1.0000       0.0000       0.0000      -58.050      -191.07      -57.922       0.0000      -103.61      -5.1499      -6.0199      -8.9225       0.0000       0.0000       0.0000      -5.5128       0.0000    
 0.8761584636       1.0000       0.0000       0.0000      -58.017      -190.96      -57.888       0.0000      -104.46      -5.2414      -6.1161      -9.0662       0.0000       0.0000       0.0000      -5.6187       0.0000    
  1.388158464       1.0000       0.0000       0.0000      -57.489      -189.31      -57.388       0.0000      -103.75      -5.2098      -6.0627      -8.9838       0.0000       0.0000       0.0000      -5.5846       0.0000    
  2.412158464       1.0000       0.0000       0.0000      -56.165      -184.94      -56.063       0.0000      -99.938      -4.9976      -5.7912      -8.5728       0.0000       0.0000       0.0000      -5.3473       0.0000    
  3.912158464       1.0000       0.0000       0.0000      -55.701      -183.33      -55.576       0.0000      -96.832      -5.0538      -5.8305      -8.6314       0.0000       0.0000       0.0000      -5.4263       0.0000    
  5.412158464       1.0000       0.0000       0.0000      -54.970      -180.71      -54.781       0.0000      -93.669      -5.0046      -5.7566      -8.5191       0.0000       0.0000       0.0000      -5.3841       0.0000    
  6.912158464       1.0000       0.0000       0.0000      -51.842      -170.30      -51.627       0.0000      -86.445      -4.2740      -4.9007      -7.2249       0.0000       0.0000       0.0000      -4.5536       0.0000    
  8.412158464       1.0000       0.0000       0.0000      -49.591      -163.37      -49.526       0.0000      -81.448      -3.7528      -4.2909      -6.2979       0.0000       0.0000       0.0000      -3.9617       0.0000    
  9.912158464       1.0000       117.14       10.741      -46.713      -152.88      -46.523       24.587      -23.800       3.9451       4.6174       17.790       0.0000       0.0000       0.0000       6.9811       0.0000    
  11.41215846       1.0000       147.04       19.888      -42.840      -140.71      -42.948       22.920     -2.30936E-02   7.4461       8.6744       16.077       0.0000       0.0000       0.0000       8.5815       0.0000    
  12.91215846       1.0000       172.80       23.795      -40.881      -134.23      -41.115       21.907       10.893       9.5592       12.549       19.249       0.0000       0.0000       0.0000       11.209       0.0000    
  14.41215846       1.0000       116.25       22.565      -40.795      -134.69      -41.118       11.882      -20.196       6.5257       13.885       12.579       0.0000       0.0000       0.0000       7.7937       0.0000    
  15.91215846       1.0000       13.311       4.0533      -42.450      -140.26      -42.537       1.5337      -70.459      0.26471     -0.24772     -0.79225       0.0000       0.0000       0.0000      0.61863       0.0000    
  17.41215846       1.0000      8.75812E-47   0.0000      -41.592      -137.25      -41.608       0.0000      -77.229     -0.49702      -1.4176      -1.8752       0.0000       0.0000       0.0000     -0.21868       0.0000    
  18.91215846       1.0000      8.63889E-51   0.0000      -38.715      -127.73      -38.719       0.0000      -71.703      0.16772     -0.29691     -0.29974       0.0000       0.0000       0.0000      0.57931       0.0000    
  20.41215846       1.0000       0.0000       0.0000      -38.937      -128.44      -38.935       0.0000      -71.085      1.51557E-02 -0.28847     -0.30769       0.0000       0.0000       0.0000      0.42474       0.0000    
  21.91215846       1.0000      1.06911E-50 -2.67276E-51  -40.730      -134.36      -40.712       0.0000      -73.629     -0.60064     -0.88636      -1.2052       0.0000       0.0000       0.0000     -0.27246       0.0000    
  23.41215846       1.0000     -3.32345E-65   0.0000      -41.513      -136.94      -41.677     -8.02636E-66  -74.524     -0.99705      -1.2663      -1.7692       0.0000       0.0000       0.0000     -0.72421       0.0000    
  24.37197845       1.0000       0.0000       0.0000      -41.876      -138.14      -42.222       0.0000      -74.807      -1.2182      -1.4818      -2.0886       0.0000       0.0000       0.0000     -0.97863       0.0000    
  24.37197845       1.0000       0.0000       0.0000      -41.876      -138.14      -42.222       0.0000      -74.807      -1.2181      -1.4818      -2.0886       0.0000       0.0000       0.0000     -0.97862       0.0000    
  26.01037845       1.0000       0.0000       0.0000      -41.168      -135.80      -41.342       0.0000      -72.687      -1.2303      -1.4423      -2.0218       0.0000       0.0000       0.0000     -0.99701       0.0000    
  27.51037845       1.0000       0.0000       0.0000      -42.983      -141.79      -43.421       0.0000      -75.284      -1.8748      -2.1512      -3.0874       0.0000       0.0000       0.0000      -1.7505       0.0000    
  29.01037845       1.0000       0.0000       0.0000      -44.560      -146.99      -44.805       0.0000      -77.665      -2.4562      -2.7929      -4.0545       0.0000       0.0000       0.0000      -2.4345       0.0000    
  30.51037845       1.0000       0.0000       0.0000      -44.148      -145.63      -44.284       0.0000      -76.358      -2.5026      -2.8209      -4.0993       0.0000       0.0000       0.0000      -2.5039       0.0000    
  32.01037845       1.0000       0.0000       0.0000      -43.954      -144.99      -44.268       0.0000      -75.444      -2.5866      -2.8960      -4.2167       0.0000       0.0000       0.0000      -2.6183       0.0000    
  33.51037845       1.0000       583.44       9.9268      -44.221      -138.81      -41.912       133.44       153.74       28.709       33.322       123.34       0.0000       0.0000       0.0000       56.548       0.0000    
  34.92401620       1.0000       772.70       26.275      -42.698      -132.86      -41.637       77.544       249.43       38.690       44.912       110.59       0.0000       0.0000       0.0000       40.384       0.0000    
  36.42401620       1.0000       806.81       34.782      -41.708      -130.57      -41.727       33.946       252.58       40.420       48.192       89.779       0.0000       0.0000       0.0000       44.597       0.0000    
  37.92401620       1.0000       1141.7       115.88      -41.128      -126.34      -42.606       15.537       331.67       59.805       131.00       126.89       0.0000       0.0000       0.0000       68.089       0.0000    
  39.10722368       1.0000       489.78       106.64      -42.288      -138.10      -43.677      -4.0327       71.950       31.661       70.423       49.717       0.0000       0.0000       0.0000       36.189       0.0000    
  40.35390852       1.0000       6.1778       2.1230      -41.635      -137.35      -41.793      0.72721      -106.35       5.3451      -8.6012      -6.1310       0.0000       0.0000       0.0000       6.2179       0.0000    
  41.85390852       1.0000       0.0000       0.0000      -43.194      -142.49      -43.311       0.0000      -122.85       4.1849      -3.9107      -3.2323       0.0000       0.0000       0.0000       5.2651       0.0000    
  43.35390852       1.0000       0.0000       0.0000      -41.763      -137.77      -41.850       0.0000      -117.16       4.0676     -0.94560     -0.30022       0.0000       0.0000       0.0000       5.4338       0.0000    
