#      time         order        q_doors      q_floor      q_roof       q_tb         q_walls      q_win     
  0.000000000       1.0000       0.0000       91.776       0.0000       0.0000       18.622      -307.83    
 0.1600000000       1.0000       0.0000       97.706       0.0000       0.0000       22.379      -307.52    
 0.3200000000       1.0000       0.0000       100.65       0.0000       0.0000       24.070      -307.32    
 0.3641584608       1.0000       0.0000       101.35       0.0000       0.0000       24.459      -307.27    
 0.3641584636       1.0000       0.0000       101.35       0.0000       0.0000       24.459      -307.27    
 0.6201584636       1.0000       0.0000       103.61       0.0000       0.0000       25.605      -307.04    
 0.8761584636       1.0000       0.0000       104.46       0.0000       0.0000       26.042      -306.86    
  1.388158464       1.0000       0.0000       103.75       0.0000       0.0000       25.841      -304.18    
  2.412158464       1.0000       0.0000       99.938       0.0000       0.0000       24.709      -297.16    
  3.912158464       1.0000       0.0000       96.832       0.0000       0.0000       24.942      -294.61    
  5.412158464       1.0000       0.0000       93.669       0.0000       0.0000       24.664      -290.46    
  6.912158464       1.0000       0.0000       86.445       0.0000       0.0000       20.953      -273.77    
  8.412158464       1.0000       0.0000       81.448       0.0000       0.0000       18.303      -262.49    
  9.912158464       1.0000       0.0000       23.800       0.0000       0.0000      -33.333      -246.11    
  11.41215846       1.0000       0.0000      2.30936E-02   0.0000       0.0000      -40.780      -226.50    
  12.91215846       1.0000       0.0000      -10.893       0.0000       0.0000      -52.566      -216.23    
  14.41215846       1.0000       0.0000       20.196       0.0000       0.0000      -40.784      -216.60    
  15.91215846       1.0000       0.0000       70.459       0.0000       0.0000      0.15663      -225.25    
  17.41215846       1.0000       0.0000       77.229       0.0000       0.0000       4.0085      -220.45    
  18.91215846       1.0000       0.0000       71.703       0.0000       0.0000     -0.15038      -205.16    
  20.41215846       1.0000       0.0000       71.085       0.0000       0.0000      0.15627      -206.32    
  21.91215846       1.0000       0.0000       73.629       0.0000       0.0000       2.9646      -215.80    
  23.41215846       1.0000       0.0000       74.524       0.0000       0.0000       4.7568      -220.13    
  24.37197845       1.0000       0.0000       74.807       0.0000       0.0000       5.7672      -222.24    
  24.37197845       1.0000       0.0000       74.807       0.0000       0.0000       5.7671      -222.24    
  26.01037845       1.0000       0.0000       72.687       0.0000       0.0000       5.6913      -218.31    
  27.51037845       1.0000       0.0000       75.284       0.0000       0.0000       8.8639      -228.20    
  29.01037845       1.0000       0.0000       77.665       0.0000       0.0000       11.738      -236.36    
  30.51037845       1.0000       0.0000       76.358       0.0000       0.0000       11.927      -234.06    
  32.01037845       1.0000       0.0000       75.444       0.0000       0.0000       12.318      -233.22    
  33.51037845       1.0000       0.0000      -153.74       0.0000       0.0000      -241.92      -224.94    
  34.92401620       1.0000       0.0000      -249.43       0.0000       0.0000      -234.57      -217.20    
  36.42401620       1.0000       0.0000      -252.58       0.0000       0.0000      -222.99      -214.01    
  37.92401620       1.0000       0.0000      -331.67       0.0000       0.0000      -385.78      -210.07    
  39.10722368       1.0000       0.0000      -71.950       0.0000       0.0000      -187.99      -224.06    
  40.35390852       1.0000       0.0000       106.35       0.0000       0.0000       3.1691      -220.78    
  41.85390852       1.0000       0.0000       122.85       0.0000       0.0000      -2.3069      -228.99    
  43.35390852       1.0000       0.0000       117.16       0.0000       0.0000      -8.2556      -221.38    
  44.85390852       1.0000       0.0000       115.57       0.0000       0.0000      -6.3507      -234.50    
  46.35390852       1.0000       0.0000       102.44       0.0000       0.0000      -10.600      -215.23    
  47.85390852       1.0000       0.0000       98.109       0.0000       0.0000      -8.6159      -219.67    
  48.37072906       1.0000       0.0000       96.587       0.0000       0.0000      -7.9913      -220.46    
  48.37072906       1.0000       0.0000       96.587       0.0000       0.0000      -7.9913      -220.46    
  50.77072906       1.0000       0.0000       92.561       0.0000       0.0000      -3.5270      -228.52    
  52.27072906       1.0000       0.0000       80.434       0.0000       0.0000      -7.9095      -203.82    
  53.77072906       1.0000       0.0000       75.078       0.0000       0.0000      -8.0783      -197.68    
  55.27072906       1.0000       0.0000       74.602       0.0000       0.0000      -5.4503      -202.74    
  56.77072906       1.0000       0.0000       67.721       0.0000       0.0000      -8.3354      -201.43    
  58.27072906       1.0000       0.0000       17.088       0.0000       0.0000      -47.944      -204.88    
  59.77072906       1.0000       0.0000       46.517       0.0000       0.0000      -19.610      -220.14    
  61.27072906       1.0000       0.0000       43.917       0.0000       0.0000      -22.333      -230.83    
  62.77072906       1.0000       0.0000       42.122       0.0000       0.0000      -27.506      -232.32    
  64.27072906       1.0000       0.0000       53.883       0.0000       0.0000      -11.833      -221.48    
  65.77072906       1.0000       0.0000       50.233       0.0000       0.0000      -14.334      -224.56    
  67.27072906       1.0000       0.0000       46.872       0.0000       0.0000      -16.615      -232.35    
  68.77072906       1.0000       0.0000       43.813       0.0000       0.0000      -19.101      -237.04    
  70.27072906       1.0000       0.0000       42.603       0.0000       0.0000      -20.589      -256.23    
  71.77072906       1.0000       0.0000       39.319       0.0000       0.0000      -24.214      -249.60    
  72.38685027       1.0000       0.0000       39.639       0.0000       0.0000      -24.434      -262.21    
  72.38685027       1.0000       0.0000       39.639       0.0000       0.0000      -24.434      -262.21    
  74.78685027       1.0000       0.0000       36.554       0.0000       0.0000      -29.544      -266.79    
  76.28685027       1.0000       0.0000       33.799       0.0000       0.0000      -33.603      -258.84    
  77.78685027       1.0000       0.0000       32.236       0.0000       0.0000      -36.912      -260.81    
  79.28685027       1.0000       0.0000       30.687       0.0000       0.0000      -40.394      -262.45    
  80.78685027       1.0000       0.0000       27.665       0.0000       0.0000      -45.283      -270.28    
  82.28685027       1.0000       0.0000       10.123       0.0000       0.0000      -62.238      -273.75    
  83.78685027       1.0000       0.0000      4.40474E-02   0.0000       0.0000      -69.484      -271.53    
  85.28685027       1.0000       0.0000       3.1553       0.0000       0.0000      -71.433      -271.37    
  86.78685027       1.0000       0.0000       23.066       0.0000       0.0000      -61.626      -299.61    
  88.28685027       1.0000       0.0000       29.797       0.0000       0.0000      -58.471      -294.09    
  89.78685027       1.0000       0.0000       27.090       0.0000       0.0000      -63.777      -286.18    
  91.28685027       1.0000       0.0000       24.851       0.0000       0.0000      -68.165      -286.66    
  92.78685027       1.0000       0.0000       22.312       0.0000       0.0000      -72.637      -283.12    
  94.28685027       1.0000       0.0000       19.825       0.0000       0.0000      -76.995      -278.29    
