#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  0.000000000       1.0000       0.0000       271.59       0.0000       0.0000       0.0000      -307.83       0.0000       0.0000       0.0000     -1.64495E-07
 0.1600000000       1.0000       0.0000       288.82       0.0000       0.0000       0.0000      -307.52       0.0000       0.0000       0.0000     -1.64023E-07
 0.3200000000       1.0000       0.0000       295.07       0.0000       0.0000       0.0000      -307.32       0.0000       0.0000       0.0000     -1.63761E-07
 0.3641584608       1.0000       0.0000       296.43       0.0000       0.0000       0.0000      -307.27       0.0000       0.0000       0.0000     -1.63697E-07
 0.3641584636       1.0000       0.0000       296.43       0.0000       0.0000       0.0000      -307.27       0.0000       0.0000       0.0000     -1.63697E-07
 0.6201584636       1.0000       0.0000       300.21       0.0000       0.0000       0.0000      -307.04       0.0000       0.0000       0.0000     -1.63437E-07
 0.8761584636       1.0000       0.0000       301.67       0.0000       0.0000       0.0000      -306.86       0.0000       0.0000       0.0000     -1.63259E-07
  1.388158464       1.0000       0.0000       300.56       0.0000       0.0000       0.0000      -304.18       0.0000       0.0000       0.0000     -1.62286E-07
  2.412158464       1.0000       0.0000       294.51       0.0000       0.0000       0.0000      -297.16       0.0000       0.0000       0.0000     -1.58370E-07
  3.912158464       1.0000       0.0000       291.91       0.0000       0.0000       0.0000      -294.61       0.0000       0.0000       0.0000     -1.60475E-07
  5.412158464       1.0000       0.0000       287.91       0.0000       0.0000       0.0000      -290.46       0.0000       0.0000       0.0000     -1.55038E-07
  6.912158464       1.0000       0.0000       272.08       0.0000       0.0000       0.0000      -273.77       0.0000       0.0000       0.0000     -1.43464E-07
  8.412158464       1.0000       0.0000       260.74       0.0000       0.0000       0.0000      -262.49       0.0000       0.0000       0.0000     -1.31213E-07
  9.912158464       1.0000       0.0000       97.400       112.19       0.0000       0.0000      -205.84       0.0000       0.0000       0.0000     -1.20134E-07
  11.41215846       1.0000       0.0000       39.464       139.09       0.0000       0.0000      -175.74       0.0000       0.0000       0.0000     -9.07119E-08
  12.91215846       1.0000       0.0000     -0.36262       159.91       0.0000       0.0000      -157.63       0.0000       0.0000       0.0000     -6.89022E-08
  14.41215846       1.0000       0.0000       63.464       109.33       0.0000       0.0000      -175.24       0.0000       0.0000       0.0000     -6.71705E-08
  15.91215846       1.0000       0.0000       199.66       13.634       0.0000       0.0000      -219.99       0.0000       0.0000       0.0000     -8.23945E-08
  17.41215846       1.0000       0.0000       216.85      8.75812E-47   0.0000       0.0000      -220.45       0.0000       0.0000       0.0000     -7.31486E-08
  18.91215846       1.0000       0.0000       203.49      1.06911E-50   0.0000       0.0000      -205.16       0.0000       0.0000       0.0000     -4.46418E-08
  20.41215846       1.0000       0.0000       204.15       0.0000       0.0000       0.0000      -206.32       0.0000       0.0000       0.0000     -4.83819E-08
  21.91215846       1.0000       0.0000       213.04      8.01829E-51   0.0000       0.0000      -215.80       0.0000       0.0000       0.0000     -6.09110E-08
  23.41215846       1.0000       0.0000       217.55     -4.12608E-65   0.0000       0.0000      -220.13       0.0000       0.0000       0.0000     -6.73182E-08
  24.37197845       1.0000       0.0000       219.73       0.0000       0.0000       0.0000      -222.24       0.0000       0.0000       0.0000     -6.89488E-08
  24.37197845       1.0000       0.0000       219.73       0.0000       0.0000       0.0000      -222.24       0.0000       0.0000       0.0000     -6.89488E-08
  26.01037845       1.0000       0.0000       216.53       0.0000       0.0000       0.0000      -218.31       0.0000       0.0000       0.0000     -7.51862E-08
  27.51037845       1.0000       0.0000       225.47       0.0000       0.0000       0.0000      -228.20       0.0000       0.0000       0.0000     -8.12776E-08
  29.01037845       1.0000       0.0000       233.52       0.0000       0.0000       0.0000      -236.36       0.0000       0.0000       0.0000     -8.86665E-08
  30.51037845       1.0000       0.0000       231.81       0.0000       0.0000       0.0000      -234.06       0.0000       0.0000       0.0000     -8.64524E-08
  32.01037845       1.0000       0.0000       231.00       0.0000       0.0000       0.0000      -233.22       0.0000       0.0000       0.0000     -8.37892E-08
  33.51037845       1.0000       0.0000      -479.11       536.64       0.0000       0.0000      -34.764       0.0000       0.0000       0.0000     -8.79285E-08
  34.92401620       1.0000       0.0000      -644.19       645.91       0.0000       0.0000       13.412       0.0000       0.0000       0.0000     -7.79341E-08
  36.42401620       1.0000       0.0000      -654.96       645.09       0.0000       0.0000       16.441       0.0000       0.0000       0.0000     -7.80421E-08
  37.92401620       1.0000       0.0000      -1046.7       927.75       0.0000       0.0000       135.27       0.0000       0.0000       0.0000     -8.04689E-08
  39.10722368       1.0000       0.0000      -380.72       423.66       0.0000       0.0000      -55.324       0.0000       0.0000       0.0000     -8.59212E-08
  40.35390852       1.0000       0.0000       186.04       6.5776       0.0000       0.0000      -218.33       0.0000       0.0000       0.0000     -7.70116E-08
  41.85390852       1.0000       0.0000       219.49       0.0000       0.0000       0.0000      -228.99       0.0000       0.0000       0.0000     -8.31826E-08
  43.35390852       1.0000       0.0000       217.18       0.0000       0.0000       0.0000      -221.38       0.0000       0.0000       0.0000     -7.10137E-08
  44.85390852       1.0000       0.0000       230.35       0.0000       0.0000       0.0000      -234.50       0.0000       0.0000       0.0000     -7.61052E-08
  46.35390852       1.0000       0.0000       213.25       0.0000       0.0000       0.0000      -215.23       0.0000       0.0000       0.0000     -6.60792E-08
  47.85390852       1.0000       0.0000       216.85      6.86635E-82   0.0000       0.0000      -219.67       0.0000       0.0000       0.0000     -7.89746E-08
  48.37072906       1.0000       0.0000       217.65     -7.26469E-66   0.0000       0.0000      -220.46       0.0000       0.0000       0.0000     -8.02708E-08
